cell_id,NRAS.1.115258747.C...2,NRAS.1.115258747.C...3,DNMT3A.2.25457243.G,NPM1.5.170837543.C,FLT3.13.28592642.C,FLT3.13.28608243.X
c422,9,9,24,9,84,14
c423,38,38,20,5,106,57
c424,25,25,40,13,71,27
c425,51,51,105,55,120,38
c426,23,23,19,17,72,8
c427,19,19,14,22,92,12
c428,29,29,58,52,94,23
c429,9,9,29,3,202,48
c430,9,9,17,3,80,7
c431,60,60,70,60,142,30
c432,28,28,44,36,49,12
c433,23,23,40,35,44,8
c434,14,14,48,21,44,23
c435,13,13,39,48,107,21
c436,37,37,46,42,90,20
c437,37,37,72,130,120,27
c438,7,7,4,2,86,2
c439,33,33,24,46,52,14
c440,16,16,54,24,111,18
c441,42,42,51,7,142,27
c442,13,13,18,7,82,10
c443,34,34,53,0,116,13
c444,12,12,18,8,98,63
c445,22,22,17,6,48,31
c446,27,27,37,59,78,14
c447,28,28,27,7,38,7
c448,44,44,34,14,134,25
c449,23,23,18,7,33,12
c450,36,36,79,96,61,30
c451,22,22,52,6,220,47
c452,14,14,85,122,85,12
c453,49,49,77,14,176,69
c454,27,27,30,29,46,22
c455,7,7,28,6,97,6
c456,12,12,35,23,44,6
c457,33,33,65,26,64,32
c458,47,47,36,26,97,18
c459,25,25,41,36,76,21
c460,29,29,55,22,89,15
c461,11,11,25,70,84,18
c462,66,66,62,40,62,22
c463,26,26,68,25,49,12
c464,25,25,104,18,124,32
c465,15,15,19,0,140,24
c466,26,26,36,33,26,12
c467,11,11,13,6,50,8
c468,2,2,18,4,24,11
c469,32,32,13,32,48,11
c470,22,22,39,59,39,7
c471,17,17,55,24,72,26
c472,10,10,10,11,35,16
c473,58,58,68,80,82,25
c474,15,15,49,37,28,17
c475,16,16,41,11,84,15
c476,21,21,41,91,77,17
c477,45,45,65,40,96,29
c478,16,16,13,4,88,9
c479,13,13,17,3,70,13
c480,16,16,71,16,115,12
c481,51,51,51,34,74,19
c482,22,22,36,44,45,9
c483,31,31,57,104,114,20
c484,28,28,24,49,46,12
c485,31,31,28,28,28,12
c486,18,18,45,41,29,14
c487,25,25,57,16,82,20
c488,27,27,65,18,76,47
c489,19,19,24,38,56,7
c490,37,37,44,39,60,10
c491,12,12,30,18,51,33
c492,34,34,43,50,82,17
c493,11,11,30,27,69,6
c494,33,33,14,29,72,20
c495,25,25,44,66,81,22
c496,13,13,0,10,18,8
c497,14,14,11,7,54,9
c498,30,30,113,27,162,39
c499,18,18,35,65,55,9
c500,12,12,34,10,124,30
c501,19,19,8,15,110,21
c502,38,38,67,60,56,27
c503,25,25,28,43,40,4
c504,45,45,16,65,52,10
c505,63,63,52,40,124,53
c506,24,24,73,138,125,18
c507,33,33,27,21,103,9
c508,31,31,39,22,88,6
c509,17,17,43,14,101,16
c510,28,28,47,15,85,16
c511,47,47,95,45,154,60
c512,15,15,41,10,70,20
c513,2,2,11,11,133,18
c514,39,39,44,76,98,25
c515,28,28,25,46,98,16
c516,23,23,42,32,110,30
c517,3,3,12,4,77,0
c518,21,21,50,16,89,9
c519,31,31,25,32,104,31
c520,13,13,23,20,33,6
c521,15,15,44,7,86,21
c522,62,62,82,89,155,47
c523,49,49,47,12,87,21
c524,82,82,19,107,53,22
c525,25,25,25,23,48,14
c526,16,16,12,7,68,4
c527,38,38,30,8,146,25
c528,5,5,54,10,74,10
c529,7,7,10,2,98,27
c530,20,20,55,60,123,25
c531,7,7,20,6,72,8
c532,25,25,46,14,52,8
c533,31,31,46,39,62,10
c534,15,15,35,16,80,12
c535,38,38,49,35,74,11
c536,26,26,75,29,119,24
c537,9,9,58,8,96,14
c538,19,19,12,39,93,44
c539,37,37,47,12,118,23
c540,14,14,42,7,84,8
c541,50,50,106,103,124,42
c542,62,62,104,50,139,53
c543,27,27,38,30,78,32
c544,19,19,41,4,119,16
c545,15,15,38,5,79,26
c546,40,40,87,14,182,19
c547,3,3,31,140,30,8
c548,26,26,44,40,66,17
c549,31,31,25,10,28,7
c550,28,28,68,26,136,27
c551,27,27,24,19,67,16
c552,15,15,16,3,65,13
c553,21,21,35,56,57,18
c554,9,9,27,3,82,28
c555,14,14,18,58,34,8
c556,11,11,30,4,26,19
c557,42,42,63,54,104,17
c558,13,13,61,20,184,109
c559,8,8,8,5,91,30
c560,27,27,43,37,92,15
c561,53,53,77,45,56,54
c562,23,23,55,25,50,31
c563,17,17,7,21,80,13
c564,31,31,39,73,89,19
c565,31,31,45,25,110,25
c566,24,24,15,1,45,6
c567,15,15,26,47,40,9
c568,17,17,13,0,72,11
c569,31,31,40,32,130,0
c570,53,53,68,21,128,36
c571,29,29,19,25,89,15
c572,5,5,17,5,112,1
c573,2,2,39,80,52,14
c574,35,35,72,32,156,57
c575,18,18,43,5,54,17
c576,13,13,23,0,20,5
c577,24,24,51,63,64,17
c578,16,16,71,134,42,30
c579,23,23,57,9,146,77
c580,24,24,23,15,110,6
c581,13,13,32,54,95,13
c582,7,7,10,6,101,45
c583,17,17,16,9,66,6
c584,22,22,18,5,59,20
c585,34,34,11,13,120,23
c586,11,11,31,18,113,4
c587,15,15,20,30,64,15
c588,22,22,29,11,146,17
c589,38,38,36,25,86,9
c590,6,6,7,1,68,3
c591,18,18,19,18,74,10
c592,8,8,10,8,100,18
c593,31,31,56,22,118,15
c594,45,45,36,43,196,59
c595,37,37,74,81,102,87
c596,11,11,32,8,70,18
c597,21,21,37,30,56,5
c598,31,31,43,29,77,23
c599,5,5,15,4,132,23
c600,11,11,40,64,67,12
c601,12,12,20,4,68,32
c602,7,7,22,10,88,6
c603,6,6,38,38,89,20
c604,6,6,48,46,96,7
c605,15,15,68,30,80,11
c606,41,41,28,88,63,6
c607,34,34,55,67,80,24
c608,54,54,50,26,74,10
c609,46,46,85,13,166,64
c610,11,11,6,2,65,13
c611,13,13,52,11,56,7
c612,29,29,63,16,107,25
c613,24,24,27,3,0,0
c614,68,68,87,64,128,53
c615,30,30,61,36,146,27
c616,0,0,36,7,106,25
c617,47,47,149,93,204,83
c618,9,9,45,4,95,6
c619,30,30,41,51,98,16
c620,54,54,142,250,273,60
c621,36,36,42,17,141,54
c622,28,28,63,99,87,26
c623,13,13,42,25,93,9
c624,30,30,34,14,36,14
c625,19,19,55,44,51,0
c626,20,20,39,64,66,12
c627,16,16,49,47,56,15
c628,51,51,117,146,102,59
c629,40,40,68,45,116,40
c630,26,26,36,38,85,22
c631,23,23,26,34,144,27
c632,17,17,32,26,109,9
c633,23,23,46,25,92,15
c634,17,17,17,30,56,13
c635,29,29,42,34,127,21
c636,16,16,22,67,70,17
c637,29,29,87,75,123,51
c638,31,31,41,31,150,37
c639,23,23,52,46,41,19
c640,19,19,15,105,114,26
c641,20,20,49,46,84,19
c642,19,19,59,66,130,22
c643,23,23,30,19,52,9
c644,32,32,31,23,58,23
c645,6,6,16,9,49,26
c646,2,2,16,2,88,6
c647,51,51,46,60,55,30
c648,83,83,71,56,99,44
c649,23,23,20,4,78,11
c650,3,3,21,5,126,38
c651,33,33,41,29,48,20
c652,4,4,4,4,82,9
c653,45,45,48,61,200,23
c654,9,9,22,6,26,13
c655,17,17,30,37,65,19
c656,9,9,10,31,110,15
c657,18,18,23,4,39,16
c658,21,21,16,7,10,1
c659,16,16,11,24,54,13
c660,33,33,54,24,85,12
c661,29,29,16,57,22,18
c662,17,17,14,8,154,16
c663,21,21,38,8,70,8
c664,46,46,16,26,76,30
c665,31,31,30,31,49,10
c666,25,25,45,27,46,17
c667,26,26,29,32,26,19
c668,50,50,47,72,200,59
c669,7,7,8,2,123,20
c670,8,8,27,42,69,44
c671,28,28,36,21,60,17
c672,32,32,62,63,98,29
c673,17,17,32,42,22,32
c674,40,40,69,49,127,32
c675,37,37,62,34,212,10
c676,19,19,38,46,58,18
c677,10,10,28,30,52,6
c678,10,10,27,14,100,19
c679,23,23,45,24,114,14
c680,27,27,59,66,84,46
c681,16,16,21,1,42,5
c682,31,31,67,44,139,24
c683,4,4,8,2,48,47
c684,32,32,52,16,74,21
c685,39,39,56,26,102,31
c686,24,24,41,21,147,25
c687,61,61,89,50,186,40
c688,62,62,92,46,176,39
c689,37,37,74,26,121,44
c690,19,19,49,34,64,30
c691,16,16,28,19,140,25
c692,66,66,95,90,228,32
c693,6,6,29,7,74,14
c694,16,16,19,17,79,39
c695,29,29,62,31,114,22
c696,19,19,46,44,68,12
c697,14,14,23,25,66,19
c698,16,16,36,50,44,14
c699,20,20,24,56,70,20
c700,6,6,25,5,67,21
c701,14,14,19,57,29,13
c702,39,39,53,48,71,16
c703,15,15,47,18,69,39
c704,31,31,38,9,53,12
c705,8,8,12,17,56,11
c706,48,48,24,9,95,28
c707,10,10,32,4,87,14
c708,44,44,56,50,188,37
c709,15,15,42,33,39,8
c710,45,45,48,63,96,29
c711,8,8,26,37,35,23
c712,44,44,33,45,134,18
c713,45,45,76,101,104,30
c714,52,52,115,11,109,45
c715,32,32,66,45,152,34
c716,28,28,33,41,92,7
c717,23,23,20,2,76,14
c718,10,10,26,18,43,29
c719,36,36,33,44,74,25
c720,51,51,40,15,37,4
c721,19,19,30,17,127,24
c722,10,10,22,7,59,40
c723,24,24,50,82,69,23
c724,25,25,130,47,174,34
c725,24,24,49,66,24,7
c726,27,27,42,17,194,34
c727,22,22,25,31,68,16
c728,43,43,81,15,267,118
c729,33,33,61,31,68,21
c730,14,14,54,57,90,23
c731,22,22,78,26,69,20
c732,13,13,22,9,63,4
c733,16,16,15,18,72,9
c734,24,24,47,17,91,19
c735,15,15,19,42,36,7
c736,14,14,14,23,82,16
c737,9,9,19,2,50,10
c738,32,32,54,84,77,15
c739,18,18,56,32,36,18
c740,15,15,28,10,87,13
c741,23,23,14,5,89,6
c742,13,13,53,32,39,11
c743,16,16,24,66,46,2
c744,30,30,41,30,95,17
c745,22,22,24,28,60,10
c746,25,25,30,42,53,14
c747,35,35,28,13,40,19
c748,20,20,20,16,186,30
c749,17,17,12,0,25,8
c750,38,38,78,52,121,40
c751,9,9,35,18,68,11
c752,75,75,42,13,147,64
c753,12,12,69,118,70,6
c754,3,3,45,8,116,22
c755,9,9,57,35,62,29
c756,8,8,49,27,96,12
c757,24,24,24,47,62,5
c758,14,14,15,33,68,14
c759,14,14,51,65,73,10
c760,27,27,26,12,68,10
c761,26,26,33,52,68,7
c762,23,23,44,73,84,37
c763,14,14,37,56,72,11
c764,29,29,30,27,103,19
c765,19,19,20,54,42,29
c766,20,20,22,9,90,26
c767,11,11,26,46,70,17
c768,19,19,15,26,57,19
c769,24,24,69,17,49,19
c770,20,20,32,11,78,14
c771,52,52,28,47,67,22
c772,19,19,33,9,70,26
c773,14,14,12,30,38,8
c774,25,25,23,29,65,16
c775,9,9,18,3,54,9
c776,2,2,27,12,55,7
c777,13,13,27,6,42,14
c778,27,27,73,208,121,41
c779,21,21,62,36,88,8
c780,18,18,49,24,32,4
c781,9,9,21,6,39,10
c782,22,22,33,86,46,12
c783,18,18,58,8,106,20
c784,14,14,48,25,92,14
c785,53,53,61,43,112,24
c786,24,24,52,13,76,19
c787,73,73,97,42,83,25
c788,11,11,33,11,14,0
c789,74,74,102,63,128,25
c790,32,32,29,53,50,9
c791,8,8,29,8,60,10
c792,16,16,18,6,40,8
c793,12,12,23,2,66,33
c794,28,28,21,84,86,17
c795,14,14,19,16,56,18
c796,55,55,63,40,108,31
c797,20,20,21,23,0,0
c798,25,25,59,51,35,9
c799,27,27,21,49,44,11
c800,27,27,48,8,63,16
c801,15,15,27,17,62,13
c802,17,17,60,25,48,11
c803,34,34,50,14,152,27
c804,18,18,34,51,52,9
c805,13,13,40,5,99,14
c806,12,12,42,66,64,12
c807,12,12,12,36,70,21
c808,32,32,66,11,60,20
c809,38,38,62,23,80,20
c810,44,44,97,31,150,30
c811,33,33,31,41,93,27
c812,74,74,78,66,126,26
c813,9,9,44,11,12,8
c814,36,36,76,7,159,35
c815,29,29,49,28,60,15
c816,21,21,25,33,58,8
c817,23,23,27,3,126,38
c818,29,29,44,23,57,22
c819,32,32,84,57,90,22
c820,12,12,26,12,78,14
c821,69,69,143,171,186,85
c822,16,16,69,77,84,50
c823,10,10,42,76,33,12
c824,8,8,12,32,102,6
c825,29,29,40,37,38,25
c826,44,44,61,10,154,35
c827,17,17,0,20,126,40
c828,54,54,89,69,82,6
c829,29,29,52,12,65,13
c830,41,41,90,179,80,21
c831,14,14,32,24,42,18
c832,13,13,22,3,62,2
c833,24,24,15,9,142,43
c834,11,11,45,22,69,15
c835,27,27,21,17,82,9
c836,30,30,10,2,60,10
c837,23,23,46,36,64,8
c838,22,22,56,97,62,24
c839,10,10,27,19,62,24
c840,53,53,48,12,174,50
c841,10,10,32,22,97,12
c842,15,15,9,3,77,19
c843,14,14,40,5,118,49
c844,13,13,9,7,101,17
c845,28,28,65,27,108,14
c846,26,26,29,40,185,50
c847,44,44,26,43,51,12
c848,29,29,36,41,82,43
c849,38,38,43,34,163,23
c850,14,14,5,7,62,13
c851,18,18,57,25,106,28
c852,25,25,12,19,50,11
c853,11,11,6,6,54,8
c854,26,26,42,27,91,9
c855,26,26,32,14,95,24
c856,15,15,35,15,106,17
c857,19,19,43,22,59,59
c858,23,23,22,17,52,9
c859,35,35,36,31,81,24
c860,24,24,28,13,82,28
c861,3,3,20,12,24,8
c862,23,23,38,28,118,21
c863,67,67,132,105,217,46
c864,11,11,7,12,62,12
c865,26,26,24,26,46,15
c866,12,12,10,10,75,18
c867,7,7,41,49,64,18
c868,18,18,40,7,69,22
c869,55,55,55,71,124,55
c870,13,13,34,22,85,15
c871,22,22,84,39,86,23
c872,12,12,42,43,62,20
c873,14,14,9,15,119,17
c874,10,10,29,10,67,21
c875,15,15,34,9,66,14
c876,33,33,73,72,86,26
c877,23,23,45,8,117,26
c878,15,15,57,25,47,19
c879,40,40,32,8,88,5
c880,63,63,99,127,237,42
c881,119,119,89,75,225,153
c882,43,43,52,39,73,21
c883,13,13,12,6,42,4
c884,36,36,34,10,128,23
c885,41,41,63,46,106,29
c886,23,23,45,47,192,44
c887,24,24,29,23,65,9
c888,22,22,9,7,56,11
c889,3,3,12,6,75,17
c890,48,48,87,77,53,37
c891,25,25,42,55,68,44
c892,22,22,32,100,78,24
c893,11,11,59,39,86,25
c894,20,20,28,21,96,12
c895,43,43,46,25,45,23
c896,21,21,23,11,106,14
c897,18,18,19,16,38,4
c898,13,13,27,24,64,13
c899,7,7,33,10,33,15
c900,6,6,20,28,69,12
c901,11,11,19,48,58,8
c902,15,15,22,8,60,13
c903,26,26,22,18,153,63
c904,16,16,32,45,61,29
c905,25,25,32,10,115,18
c906,26,26,49,72,56,10
c907,11,11,3,39,154,17
c908,35,35,40,41,56,16
c909,27,27,47,11,128,35
c910,25,25,66,67,60,26
c911,33,33,5,48,94,6
c912,34,34,39,61,72,14
c913,16,16,10,5,113,21
c914,32,32,54,63,86,25
c915,46,46,65,37,86,12
c916,18,18,15,43,52,15
c917,7,7,10,6,36,8
c918,8,8,11,35,54,15
c919,26,26,27,10,180,28
c920,27,27,36,22,61,9
c921,38,38,34,27,108,9
