cell_id,NRAS.1.115258747.C,NPM1.5.170837543.C,WT1.11.32417907.G
c235,20,13,17
c236,5,15,28
c237,12,22,37
c238,24,80,66
c239,27,4,48
c240,8,16,29
c241,25,40,34
c242,9,14,72
c243,4,0,42
c244,15,29,71
c245,13,6,32
c246,19,7,31
c247,19,26,55
c248,18,47,63
c249,36,87,95
c250,21,2,50
c251,7,10,61
c252,17,43,22
c253,24,14,32
c254,16,42,47
c255,2,6,53
c256,28,17,31
c257,7,14,97
c258,14,26,55
c259,24,55,49
c260,14,6,39
c261,16,6,26
c262,9,3,34
c263,7,6,30
c264,4,26,18
c265,37,33,27
c266,4,4,30
c267,9,2,60
c268,18,5,30
c269,54,14,129
c270,9,22,64
c271,21,28,32
c272,19,58,48
c273,6,35,22
c274,9,14,26
c275,5,54,66
c276,9,22,40
c277,13,6,24
c278,7,23,43
c279,11,13,20
c280,28,48,43
c281,14,8,57
c282,27,8,49
c283,6,10,35
c284,14,47,25
c285,29,66,42
c286,18,12,35
c287,18,12,50
c288,3,44,57
c289,31,16,42
c290,6,34,25
c291,5,7,37
c292,8,30,56
c293,19,26,30
c294,24,50,60
c295,2,9,27
c296,18,10,63
c297,6,4,30
c298,16,12,25
c299,45,54,41
c300,13,0,30
c301,1,21,46
c302,16,24,19
c303,15,14,36
c304,7,24,58
c305,11,36,38
c306,14,15,27
c307,15,31,30
c308,9,14,55
c309,16,12,72
c310,11,16,41
c311,7,5,23
c312,13,5,74
c313,3,14,39
c314,10,43,74
c315,7,0,42
c316,13,67,41
c317,12,19,43
c318,10,22,36
c319,12,4,27
c320,13,9,22
c321,16,5,35
c322,11,6,61
c323,12,15,61
c324,8,4,29
c325,2,3,27
c326,33,40,59
c327,6,8,24
c328,14,7,36
c329,18,11,82
c330,6,6,29
c331,18,2,97
c332,11,13,41
c333,1,11,36
c334,12,8,33
c335,7,2,34
c336,9,22,44
c337,24,37,43
c338,9,10,36
c339,13,0,55
c340,9,1,109
c341,9,4,34
c342,5,36,39
c343,6,48,40
c344,15,32,19
c345,25,28,20
c346,6,11,24
c347,33,82,39
c348,22,8,42
c349,17,12,29
c350,29,40,65
c351,5,0,30
c352,6,3,42
c353,8,12,37
c354,7,6,53
c355,8,2,90
c356,16,5,60
c357,22,75,52
c358,6,0,31
c359,24,15,74
c360,8,27,37
c361,15,10,29
c362,15,5,60
c363,10,11,70
c364,19,29,110
c365,14,68,79
c366,8,5,28
c367,10,4,32
c368,17,37,89
c369,3,54,12
c370,7,23,56
c371,25,28,64
c372,9,0,31
c373,11,47,32
c374,27,45,41
c375,62,121,92
c376,11,25,44
c377,9,2,46
c378,20,4,75
c379,19,17,22
c380,1,5,54
c381,12,20,33
c382,20,0,40
c383,1,21,31
c384,14,8,54
c385,0,6,25
c386,21,16,40
c387,13,24,54
c388,6,70,45
c389,27,14,26
c390,13,6,19
c391,15,44,20
c392,12,54,53
c393,8,22,67
c394,20,12,49
c395,11,8,34
c396,27,18,88
c397,46,24,120
c398,8,19,34
c399,3,2,30
c400,9,0,52
c401,6,0,26
c402,7,8,81
c403,3,29,32
c404,25,31,20
c405,5,3,40
c406,39,8,79
c407,16,9,58
c408,11,6,63
c409,8,6,59
c410,38,27,90
c411,6,5,43
c412,21,58,58
c413,12,55,29
c414,3,8,22
c415,17,34,44
c416,6,33,49
c417,11,5,31
c418,2,1,55
c419,4,3,44
c420,17,0,37
c421,13,8,27
c422,25,8,57
c423,11,68,19
c424,7,15,63
c425,25,102,56
c426,8,46,25
c427,18,48,52
c428,9,17,38
c429,15,5,35
c430,3,4,26
c431,15,2,68
c432,12,42,40
c433,9,2,28
c434,24,23,72
c435,19,11,29
c436,14,8,37
c437,28,22,52
c438,19,17,54
c439,41,23,36
c440,12,6,62
c441,7,3,52
c442,5,2,46
c443,9,5,28
c444,5,4,34
c445,19,65,67
c446,17,26,44
c447,32,27,32
c448,18,9,52
c449,12,2,41
c450,10,36,79
c451,12,15,27
c452,14,12,30
c453,4,9,62
c454,11,1,87
c455,14,24,49
c456,11,0,19
c457,15,4,65
c458,17,30,41
c459,10,2,50
c460,32,27,140
c461,29,38,55
c462,21,15,45
c463,13,10,64
c464,25,14,49
c465,27,61,46
c466,13,2,29
c467,6,9,33
c468,3,5,10
c469,15,3,66
c470,10,8,33
c471,23,10,35
c472,12,36,30
c473,5,6,63
c474,9,35,77
c475,15,12,32
c476,18,10,17
c477,16,27,35
c478,8,33,43
c479,15,10,40
c480,18,53,56
c481,5,15,21
c482,5,6,35
c483,24,17,30
c484,12,12,38
c485,10,73,42
c486,14,46,86
c487,7,50,49
c488,37,26,84
c489,5,16,34
c490,7,70,32
c491,9,10,116
c492,10,6,66
c493,9,1,38
c494,4,4,66
c495,5,5,27
c496,1,4,60
c497,15,13,12
c498,11,6,42
c499,16,45,35
c500,8,8,68
c501,31,70,42
c502,11,18,26
c503,15,8,12
c504,17,7,30
c505,22,14,48
c506,9,10,69
c507,4,6,25
c508,25,26,25
c509,2,6,21
c510,15,22,34
c511,29,28,52
c512,19,65,34
c513,7,11,84
c514,20,33,49
c515,30,72,73
c516,8,7,79
c517,13,25,55
c518,25,16,58
c519,11,9,59
c520,16,18,24
c521,10,29,27
c522,19,33,74
c523,13,88,62
c524,8,27,24
c525,16,30,30
c526,32,2,49
c527,26,130,110
c528,20,0,48
c529,8,11,66
c530,23,14,69
c531,10,4,67
c532,13,46,48
c533,16,9,56
c534,24,22,60
c535,2,13,48
c536,24,12,62
c537,13,8,42
c538,0,2,36
c539,7,40,24
c540,12,22,54
c541,6,2,38
c542,14,33,40
c543,12,44,62
c544,8,10,45
c545,14,2,48
c546,21,22,57
c547,11,63,32
c548,32,38,98
c549,37,92,65
c550,26,16,73
c551,13,13,49
c552,15,16,24
c553,26,22,27
c554,5,12,32
c555,8,10,41
c556,9,4,53
c557,10,2,93
c558,9,10,36
c559,19,43,40
c560,19,0,48
c561,30,40,25
c562,13,13,63
c563,5,14,28
c564,24,22,25
c565,7,4,62
c566,5,70,48
c567,14,34,72
c568,11,8,54
c569,22,32,26
c570,26,54,36
c571,14,22,55
c572,24,35,47
c573,19,10,50
c574,25,16,42
c575,18,1,33
c576,4,11,44
c577,20,75,85
c578,7,41,53
c579,4,6,37
c580,10,31,48
c581,15,2,82
c582,8,10,57
c583,15,44,31
c584,17,31,51
c585,12,94,79
c586,28,26,92
c587,39,76,74
c588,14,32,29
c589,7,22,27
c590,28,43,100
c591,4,9,45
c592,5,2,55
c593,1,6,48
c594,26,68,38
c595,14,25,72
c596,11,17,42
c597,24,14,51
c598,2,3,82
c599,6,4,51
c600,8,24,26
c601,9,8,41
c602,22,13,29
c603,17,27,38
c604,10,0,70
c605,14,16,74
c606,22,10,48
c607,19,28,67
c608,13,20,42
c609,6,56,48
c610,2,3,31
c611,16,4,78
c612,13,8,36
c613,19,16,56
c614,22,2,15
c615,10,53,18
c616,12,4,27
c617,4,2,67
c618,18,24,24
c619,18,8,34
c620,11,33,31
c621,5,20,37
c622,40,35,60
c623,24,58,37
c624,5,22,22
c625,1,33,48
c626,23,24,45
c627,9,21,45
c628,7,16,48
c629,18,11,33
c630,39,28,70
c631,7,2,76
c632,31,63,170
c633,2,9,2
c634,7,16,25
c635,4,2,34
c636,11,7,102
c637,8,4,46
c638,8,2,64
c639,31,0,42
c640,10,19,54
c641,17,53,34
c642,50,63,79
c643,29,34,31
c644,13,2,18
c645,14,15,46
c646,6,2,32
c647,14,0,26
c648,13,58,12
c649,7,18,54
c650,11,17,36
c651,12,0,40
c652,25,15,30
c653,22,44,35
c654,22,49,22
c655,14,31,29
c656,12,17,28
c657,6,10,55
c658,10,26,77
c659,9,14,54
c660,9,19,43
c661,20,17,65
c662,6,4,35
c663,11,9,61
c664,16,16,37
c665,2,4,23
c666,24,37,12
c667,11,34,27
c668,2,24,48
c669,9,5,65
c670,23,56,41
c671,7,27,74
c672,14,8,21
c673,13,18,38
c674,5,110,44
c675,3,20,31
c676,8,36,44
c677,11,7,30
c678,4,2,56
c679,16,25,57
c680,12,12,60
c681,18,33,53
c682,24,45,57
c683,40,46,58
c684,5,7,60
c685,20,38,49
c686,20,19,51
c687,20,40,39
c688,13,18,71
c689,19,6,114
c690,22,15,101
c691,5,31,76
c692,20,30,28
c693,13,20,59
c694,1,56,37
c695,5,13,29
c696,6,3,31
c697,5,14,38
c698,9,19,30
c699,12,134,46
c700,8,3,37
c701,9,18,75
c702,28,27,64
c703,35,15,50
c704,9,8,31
c705,5,0,75
c706,13,30,49
c707,18,17,29
c708,9,28,35
c709,10,8,39
c710,3,40,18
c711,11,38,25
c712,17,18,13
c713,23,21,39
c714,26,32,38
c715,29,14,91
c716,5,9,38
c717,10,0,22
c718,10,7,15
c719,9,36,29
c720,14,4,44
c721,2,4,71
c722,7,6,71
c723,27,15,56
c724,43,102,89
c725,9,35,28
c726,2,0,45
c727,20,41,37
c728,16,22,113
c729,4,1,47
c730,10,0,91
c731,5,10,96
c732,3,50,46
c733,18,0,40
c734,8,46,22
c735,8,42,17
c736,18,12,77
c737,3,6,72
c738,6,10,51
c739,11,19,143
c740,22,29,69
c741,5,23,56
c742,8,20,59
c743,7,29,37
c744,24,28,59
c745,6,7,22
c746,31,41,43
c747,26,32,59
c748,1,11,25
c749,9,1,22
c750,7,7,18
c751,4,6,53
c752,10,8,44
c753,9,2,30
c754,26,64,56
c755,18,11,45
c756,7,12,49
c757,18,4,63
c758,4,18,33
c759,4,27,53
c760,3,6,42
c761,12,19,39
c762,13,3,63
c763,14,16,22
c764,16,3,9
c765,6,28,42
c766,32,28,57
c767,22,30,41
c768,11,20,41
c769,9,9,48
c770,16,38,13
c771,11,24,28
c772,17,18,38
c773,8,4,22
c774,13,14,45
c775,11,21,48
c776,3,18,27
c777,8,4,62
c778,8,22,66
c779,15,26,76
c780,19,18,19
c781,13,8,24
c782,13,29,25
c783,10,10,39
c784,7,29,51
c785,14,8,55
c786,4,27,22
c787,15,2,26
c788,16,70,103
c789,20,13,55
c790,12,16,26
c791,6,6,50
c792,17,16,41
c793,5,38,17
c794,7,28,42
c795,9,32,34
c796,18,16,22
c797,8,2,29
c798,6,16,29
c799,3,30,9
c800,27,8,86
c801,15,9,50
c802,19,4,54
c803,3,31,34
c804,40,47,43
c805,7,20,97
c806,8,27,26
c807,18,27,65
c808,11,2,79
c809,22,112,52
c810,15,4,96
c811,6,38,38
c812,23,18,62
c813,21,5,53
c814,3,2,44
c815,15,20,33
c816,21,35,47
c817,55,70,53
c818,9,35,60
c819,16,2,51
c820,11,19,38
c821,9,9,44
c822,18,14,101
c823,25,14,86
c824,11,18,14
c825,13,80,40
c826,12,10,16
c827,8,28,12
c828,8,30,43
c829,15,14,77
c830,20,18,97
c831,12,12,84
c832,11,5,68
c833,2,1,125
c834,3,29,31
c835,11,10,64
c836,18,67,38
c837,9,27,36
c838,40,3,92
c839,6,20,33
c840,34,18,148
c841,29,93,71
c842,2,8,13
c843,17,8,26
c844,6,18,26
c845,11,10,67
c846,23,22,53
c847,10,3,65
c848,36,2,54
c849,14,57,34
c850,18,12,21
c851,3,21,24
c852,8,9,16
c853,11,23,20
c854,19,19,43
c855,17,73,22
c856,8,36,56
c857,26,20,38
c858,18,0,24
c859,11,44,38
c860,23,26,42
c861,5,44,7
c862,11,28,53
c863,22,11,28
c864,10,2,44
c865,22,45,67
c866,15,12,76
c867,15,27,29
c868,15,30,48
c869,13,2,65
c870,0,19,47
c871,15,15,40
c872,19,5,34
c873,14,8,19
c874,21,29,30
c875,9,9,45
c876,7,3,28
c877,5,35,42
c878,12,31,82
c879,24,82,91
c880,17,18,96
c881,9,7,36
c882,15,8,56
c883,9,54,50
c884,8,17,48
c885,13,5,68
c886,17,57,34
c887,4,13,56
c888,29,74,77
c889,11,17,22
c890,8,6,45
c891,24,78,118
c892,11,0,34
c893,8,5,49
c894,4,9,28
c895,4,7,32
c896,14,15,46
c897,12,32,43
c898,23,88,78
c899,7,25,29
c900,15,18,71
c901,14,7,78
c902,34,34,83
c903,19,31,34
c904,14,14,38
c905,19,32,82
c906,21,16,48
c907,14,44,45
c908,9,9,83
c909,14,31,28
c910,11,26,16
c911,3,4,60
c912,4,3,49
c913,5,0,27
c914,8,28,44
c915,6,32,36
c916,15,29,67
c917,24,65,31
c918,8,13,18
c919,6,3,126
c920,5,99,71
c921,15,12,62
c922,8,64,63
c923,16,6,33
c924,13,26,24
c925,18,20,24
c926,13,9,45
c927,15,12,81
c928,5,25,14
c929,3,5,15
c930,20,56,34
c931,2,68,53
c932,15,21,64
c933,8,0,49
c934,29,15,64
c935,14,18,42
c936,12,13,127
c937,10,16,32
c938,4,5,34
c939,20,11,55
c940,3,2,32
c941,8,4,49
c942,15,16,47
c943,8,22,24
c944,19,28,71
c945,15,10,29
c946,22,23,13
c947,11,28,49
c948,1,5,34
c949,38,99,48
c950,19,11,63
c951,28,18,37
c952,8,16,23
c953,3,16,18
c954,20,27,58
c955,1,6,51
c956,5,4,32
c957,9,11,28
c958,26,6,61
c959,20,15,39
c960,15,54,73
c961,31,81,68
c962,26,68,57
c963,5,1,22
c964,7,3,16
c965,28,18,58
c966,9,66,47
c967,16,30,58
c968,14,13,62
c969,11,6,81
c970,4,15,66
c971,11,30,34
c972,16,16,36
c973,3,62,77
c974,28,48,44
c975,7,3,47
c976,9,14,35
c977,6,21,38
c978,9,20,39
c979,10,3,58
c980,18,9,82
c981,14,46,32
c982,38,50,43
c983,20,34,71
c984,32,45,34
c985,47,32,103
c986,10,53,65
c987,7,19,58
c988,28,42,67
c989,9,31,29
c990,19,20,49
c991,6,9,43
c992,57,65,89
c993,28,84,37
c994,28,45,78
c995,1,11,37
c996,19,34,37
c997,6,2,47
c998,17,13,25
c999,8,24,40
c1000,9,26,46
c1001,26,136,68
c1002,10,1,47
c1003,6,2,41
c1004,12,17,37
c1005,32,38,77
c1006,25,6,46
c1007,10,15,35
c1008,13,1,42
c1009,22,12,30
c1010,16,26,74
c1011,12,3,67
c1012,15,20,43
c1013,7,18,59
c1014,24,36,85
c1015,14,12,44
c1016,7,38,22
c1017,47,48,88
c1018,16,84,33
c1019,9,2,32
c1020,23,25,42
c1021,10,3,29
c1022,11,25,50
c1023,10,2,42
c1024,12,40,66
c1025,9,4,43
c1026,30,20,129
c1027,21,56,36
c1028,6,14,34
c1029,25,47,29
c1030,22,6,41
c1031,13,1,11
c1032,28,58,29
c1033,17,14,56
c1034,21,44,44
c1035,14,13,29
c1036,6,13,26
c1037,1,35,37
c1038,18,22,46
c1039,13,3,62
c1040,27,59,42
c1041,12,35,45
c1042,18,26,45
c1043,21,4,39
c1044,9,31,17
c1045,17,41,40
c1046,16,1,43
c1047,9,12,23
c1048,10,14,25
c1049,13,8,45
c1050,33,17,88
c1051,28,55,83
c1052,16,25,29
c1053,12,25,51
c1054,13,0,30
c1055,5,2,69
c1056,8,4,56
c1057,12,6,50
c1058,18,2,31
c1059,29,57,51
c1060,8,4,34
c1061,0,34,28
c1062,14,4,48
c1063,11,12,6
c1064,5,19,22
c1065,6,6,21
c1066,11,15,28
c1067,8,36,32
c1068,12,18,27
c1069,3,44,34
c1070,17,17,55
c1071,12,12,40
c1072,25,23,33
c1073,11,2,50
c1074,20,10,37
c1075,9,10,50
c1076,10,9,70
c1077,1,20,76
c1078,14,33,20
c1079,22,1,26
c1080,12,1,31
c1081,23,53,17
c1082,6,8,45
c1083,26,47,58
c1084,4,13,33
c1085,11,56,29
c1086,13,26,62
c1087,10,16,55
c1088,11,13,23
c1089,5,4,80
c1090,39,54,62
c1091,17,4,102
c1092,14,4,23
c1093,8,31,42
c1094,10,38,23
c1095,15,4,5
c1096,30,25,40
c1097,9,40,37
c1098,9,6,43
c1099,13,42,151
c1100,18,8,50
c1101,17,13,32
c1102,17,4,63
c1103,15,2,74
c1104,5,20,51
c1105,17,33,29
c1106,15,34,27
c1107,46,82,36
c1108,26,26,8
c1109,17,0,27
c1110,14,19,23
c1111,23,38,21
c1112,1,0,55
c1113,7,8,50
c1114,11,7,27
c1115,24,9,36
c1116,10,4,62
c1117,14,53,16
c1118,39,2,53
c1119,3,7,39
c1120,7,29,35
c1121,3,11,86
c1122,50,2,156
c1123,13,33,57
c1124,15,27,35
c1125,11,20,55
c1126,13,5,35
c1127,23,18,53
c1128,10,36,35
c1129,8,32,52
c1130,10,18,10
c1131,18,70,37
c1132,12,29,60
c1133,10,40,37
c1134,6,38,37
c1135,2,3,24
c1136,15,14,21
c1137,19,14,33
c1138,13,11,25
c1139,13,51,54
c1140,38,20,45
c1141,14,40,45
c1142,14,4,22
c1143,22,69,55
c1144,13,44,30
c1145,19,2,42
c1146,11,33,65
c1147,12,2,47
c1148,9,57,66
c1149,3,15,51
c1150,9,30,16
c1151,5,9,21
c1152,18,17,62
c1153,49,128,98
c1154,4,2,51
c1155,23,58,28
c1156,10,27,42
c1157,31,21,63
c1158,7,11,29
c1159,12,9,22
c1160,16,5,64
c1161,20,18,56
c1162,10,7,21
c1163,10,40,20
c1164,18,0,29
c1165,17,34,25
c1166,25,67,34
c1167,7,51,35
c1168,13,30,29
c1169,7,0,43
c1170,17,16,35
c1171,5,57,48
c1172,15,3,86
c1173,24,30,69
c1174,26,107,33
c1175,11,0,27
c1176,8,33,41
c1177,4,19,36
c1178,16,20,40
c1179,11,70,67
c1180,19,6,29
c1181,17,30,59
c1182,5,8,49
c1183,27,35,29
c1184,13,23,26
c1185,13,0,47
c1186,10,18,45
c1187,10,15,57
c1188,14,14,26
c1189,5,0,41
c1190,24,28,41
c1191,12,33,31
c1192,1,8,37
c1193,1,34,32
c1194,12,28,18
c1195,40,62,112
c1196,17,19,78
c1197,9,54,30
c1198,23,8,41
c1199,16,41,47
c1200,9,18,61
c1201,25,26,88
c1202,17,14,33
c1203,15,10,42
c1204,15,2,10
c1205,28,8,45
c1206,11,7,50
c1207,18,45,62
c1208,18,26,25
c1209,25,31,28
c1210,30,20,53
c1211,24,0,33
c1212,18,55,67
c1213,5,7,17
c1214,22,14,16
c1215,10,38,40
c1216,35,27,49
c1217,24,40,63
c1218,31,75,76
c1219,13,29,58
c1220,8,2,28
c1221,19,13,103
c1222,10,68,41
c1223,26,24,78
c1224,8,21,30
c1225,20,21,42
c1226,6,23,32
c1227,22,57,58
c1228,13,6,36
c1229,8,2,39
c1230,10,16,43
c1231,3,15,80
c1232,61,23,99
c1233,16,60,25
c1234,8,4,30
c1235,4,34,29
c1236,28,50,30
c1237,14,37,25
c1238,4,3,27
c1239,23,60,67
c1240,4,8,67
c1241,13,19,53
c1242,9,18,34
c1243,18,60,100
c1244,5,14,24
c1245,10,5,70
c1246,12,5,57
c1247,9,42,55
c1248,18,90,41
c1249,7,39,50
c1250,12,89,62
c1251,23,29,34
c1252,11,1,48
c1253,17,19,117
c1254,17,14,38
c1255,12,24,20
c1256,11,2,72
c1257,9,13,49
c1258,16,68,34
c1259,8,7,72
c1260,32,2,55
c1261,20,35,53
c1262,21,58,30
c1263,14,17,45
c1264,28,11,48
c1265,10,19,59
c1266,10,18,38
c1267,20,3,46
c1268,14,20,32
c1269,14,0,39
c1270,25,60,64
c1271,23,15,31
c1272,6,26,30
c1273,11,80,53
c1274,3,12,27
c1275,39,13,91
c1276,12,16,57
c1277,1,2,46
c1278,10,42,39
c1279,21,2,50
c1280,15,12,20
c1281,10,39,16
c1282,33,9,43
c1283,21,1,30
c1284,5,2,78
c1285,8,0,49
c1286,7,3,57
c1287,8,7,47
c1288,15,10,45
c1289,13,4,34
c1290,15,4,53
c1291,16,64,60
c1292,14,28,36
c1293,14,57,20
c1294,10,6,73
c1295,4,5,16
c1296,21,0,69
c1297,25,16,70
c1298,10,18,30
c1299,47,22,30
c1300,16,69,91
c1301,19,111,50
c1302,19,78,70
c1303,8,16,24
c1304,21,2,78
c1305,6,5,31
c1306,7,12,27
c1307,11,16,35
c1308,13,10,47
c1309,3,5,20
c1310,10,3,46
c1311,23,58,37
c1312,14,49,22
c1313,31,27,69
c1314,14,11,62
c1315,30,71,73
c1316,9,21,50
c1317,4,10,24
c1318,11,42,8
c1319,28,13,60
c1320,18,14,40
c1321,13,6,25
c1322,15,13,36
c1323,14,26,57
c1324,1,24,40
c1325,13,46,39
c1326,23,13,44
c1327,12,0,57
c1328,13,33,62
c1329,3,2,61
c1330,24,41,58
c1331,16,48,40
c1332,2,5,58
c1333,19,21,48
c1334,15,5,55
c1335,13,2,32
c1336,1,0,62
c1337,19,28,31
c1338,27,35,64
c1339,26,64,45
c1340,15,3,18
c1341,5,3,37
c1342,39,45,82
c1343,10,42,58
c1344,3,15,26
c1345,11,0,76
c1346,16,46,39
c1347,7,34,27
c1348,5,11,78
c1349,13,4,15
c1350,6,8,48
c1351,3,2,38
c1352,30,30,107
c1353,18,33,50
c1354,13,0,34
c1355,23,2,24
c1356,17,14,17
c1357,9,26,28
c1358,13,11,52
c1359,25,18,28
c1360,23,53,57
c1361,10,28,16
c1362,12,2,50
c1363,22,10,92
c1364,12,4,21
c1365,24,14,55
c1366,30,36,38
c1367,49,10,66
c1368,26,14,99
c1369,38,4,65
c1370,11,14,29
c1371,14,28,35
c1372,12,0,44
c1373,10,8,17
c1374,23,24,64
c1375,6,5,47
c1376,10,3,30
c1377,15,17,50
c1378,16,28,85
c1379,11,67,44
c1380,41,2,60
c1381,27,0,30
c1382,27,14,35
c1383,14,13,74
c1384,16,10,67
c1385,11,4,42
c1386,26,32,54
c1387,13,6,67
c1388,20,32,25
c1389,11,26,47
c1390,20,15,40
c1391,20,43,69
c1392,6,6,112
c1393,3,6,98
c1394,10,13,37
c1395,14,14,36
c1396,14,33,39
c1397,5,0,20
c1398,24,26,38
c1399,2,8,104
c1400,12,28,46
c1401,18,15,66
c1402,7,3,39
c1403,40,31,52
c1404,6,16,73
c1405,18,4,59
c1406,10,3,70
c1407,32,4,41
c1408,25,13,41
c1409,6,8,37
c1410,5,15,68
c1411,14,2,132
c1412,6,5,39
c1413,9,7,28
c1414,16,24,35
c1415,10,8,35
c1416,21,58,53
c1417,13,20,66
c1418,32,56,70
c1419,5,2,41
c1420,14,16,84
c1421,2,0,29
c1422,14,0,30
c1423,6,0,85
c1424,9,20,23
c1425,21,34,40
c1426,17,40,54
c1427,7,2,36
c1428,6,14,83
c1429,9,3,95
c1430,8,12,98
c1431,2,9,11
c1432,16,80,44
c1433,39,93,83
c1434,8,1,21
c1435,3,9,29
c1436,27,6,23
c1437,4,20,41
c1438,11,8,36
c1439,12,6,16
c1440,5,36,51
c1441,24,10,30
c1442,55,82,126
c1443,28,8,46
c1444,4,9,65
c1445,33,48,63
c1446,13,2,45
c1447,10,27,42
c1448,5,3,49
c1449,7,19,40
c1450,10,23,19
c1451,8,18,28
c1452,15,2,22
c1453,24,57,60
c1454,10,20,39
c1455,8,0,21
c1456,9,3,66
c1457,12,4,56
c1458,15,2,46
c1459,4,50,35
c1460,13,0,44
c1461,12,2,28
c1462,53,14,191
c1463,20,15,41
c1464,11,31,33
c1465,1,64,58
c1466,14,28,30
c1467,32,37,28
c1468,8,14,18
c1469,13,7,48
c1470,25,25,35
c1471,5,4,51
c1472,6,9,21
c1473,23,49,41
c1474,7,55,39
c1475,30,63,67
c1476,12,31,61
c1477,21,68,38
c1478,11,54,34
c1479,13,18,56
c1480,6,1,76
c1481,25,11,36
c1482,49,37,77
c1483,9,26,61
c1484,4,0,23
c1485,20,67,38
c1486,13,23,89
c1487,19,0,50
c1488,13,6,50
c1489,11,43,114
c1490,7,9,72
c1491,14,18,46
