cell_id,DNMT3A.2.25457243.G,NPM1.5.170837543.C,FLT3.13.28608273.X,TP53.17.7578275.G
c161,2,2,38,192
c162,284,112,330,223
c163,50,38,196,183
c164,58,20,76,61
c165,57,6,83,65
c166,47,5,82,70
c167,27,7,64,50
c168,36,7,113,53
c169,64,5,126,104
c170,16,27,111,70
c171,118,121,196,177
c172,19,4,55,41
c173,197,101,223,119
c174,50,10,69,77
c175,248,228,321,218
c176,76,44,124,94
c177,21,4,47,105
c178,67,34,105,92
c179,126,39,119,92
c180,6,5,44,66
c181,138,57,331,212
c182,103,98,126,102
c183,87,45,32,64
c184,19,8,160,141
c185,7,2,74,117
c186,8,2,24,24
c187,53,3,209,100
c188,65,1,29,88
c189,35,2,124,291
c190,13,46,56,61
c191,130,31,108,113
c192,39,55,98,77
c193,39,12,90,66
c194,29,12,38,35
c195,26,17,68,28
c196,55,7,92,63
c197,78,10,122,109
c198,208,27,356,315
c199,83,76,265,188
c200,47,63,81,58
c201,130,77,127,120
c202,77,88,104,64
c203,56,32,68,55
c204,278,118,220,314
c205,49,13,131,93
c206,90,54,165,69
c207,89,40,48,67
c208,50,43,61,50
c209,50,80,87,35
c210,20,2,82,79
c211,5,2,56,153
c212,65,38,59,52
c213,11,8,44,47
c214,42,3,169,85
c215,68,13,167,81
c216,20,4,62,43
c217,81,54,119,44
c218,81,29,220,127
c219,11,5,62,37
c220,100,22,87,151
c221,33,2,35,60
c222,76,6,46,112
c223,36,18,61,68
c224,4,1,23,48
c225,12,4,40,63
c226,48,17,106,109
c227,4,2,48,37
c228,67,5,92,80
c229,17,0,80,65
c230,73,15,116,74
c231,45,22,104,75
c232,115,80,180,360
c233,79,9,98,60
c234,33,8,103,65
c235,64,2,83,69
c236,92,34,26,59
c237,71,39,88,66
c238,37,8,82,58
c239,180,12,275,263
c240,20,4,82,48
c241,33,70,64,58
c242,36,5,106,71
c243,127,1,247,274
c244,70,8,168,146
c245,62,8,178,151
c246,56,8,153,366
c247,129,102,168,93
c248,26,25,94,57
c249,26,41,63,74
c250,4,1,41,27
c251,25,2,32,94
c252,127,79,125,118
c253,167,90,188,234
c254,9,5,73,91
c255,32,23,82,215
c256,53,11,97,161
c257,14,5,75,63
c258,36,6,59,94
c259,28,21,118,72
c260,168,85,218,359
c261,95,10,106,109
c262,72,3,129,60
c263,86,82,111,75
c264,61,18,145,65
c265,74,6,186,318
c266,53,27,63,70
c267,12,2,19,109
c268,19,0,45,50
c269,8,0,10,74
c270,74,42,59,77
c271,139,207,164,115
c272,113,46,97,70
c273,49,12,118,118
c274,55,39,84,53
c275,84,71,275,222
c276,111,58,83,66
c277,4,2,20,17
c278,98,93,134,127
c279,54,5,66,114
c280,56,53,88,67
c281,79,27,133,107
c282,60,72,157,47
c283,79,54,128,73
c284,56,40,229,154
c285,99,16,42,110
c286,73,68,170,59
c287,103,110,87,79
c288,63,64,37,63
c289,88,72,134,109
c290,19,12,72,58
c291,83,46,178,94
c292,7,3,28,21
c293,21,0,44,47
c294,10,2,90,137
c295,20,3,110,80
c296,83,123,53,52
c297,93,58,53,63
c298,36,4,168,121
c299,8,8,61,22
c300,49,33,68,86
c301,38,8,68,78
c302,71,34,90,59
c303,59,26,96,163
c304,75,87,323,293
c305,28,12,79,29
c306,37,2,67,85
c307,22,7,43,64
c308,155,20,150,165
c309,5,0,29,22
c310,128,39,124,102
c311,113,43,276,244
c312,76,6,144,398
c313,8,5,88,79
c314,55,26,193,138
c315,164,76,247,217
c316,98,18,164,79
c317,13,2,61,35
c318,26,42,37,68
c319,0,21,190,110
c320,32,25,32,60
c321,247,124,213,187
c322,131,137,95,69
c323,251,172,203,184
c324,20,7,65,76
c325,56,0,145,0
c326,25,27,64,54
c327,50,82,55,60
c328,54,5,72,49
c329,36,64,77,74
c330,7,3,26,13
c331,103,80,138,90
c332,70,56,132,92
c333,68,6,60,86
c334,115,19,323,210
c335,34,4,59,69
c336,88,156,141,98
c337,52,30,60,54
c338,31,37,82,17
c339,60,46,65,22
c340,5,1,60,145
c341,22,27,51,4
c342,7,0,34,55
c343,4,18,36,32
c344,42,7,61,109
c345,74,69,89,87
c346,78,0,129,135
c347,34,5,153,112
c348,50,11,101,109
c349,159,28,172,136
c350,97,54,162,190
c351,302,457,138,139
c352,84,56,107,91
c353,104,44,131,69
c354,27,2,85,65
c355,52,61,73,51
c356,39,11,109,78
c357,102,95,132,112
c358,54,67,61,27
c359,183,94,70,89
c360,47,87,90,48
c361,107,92,62,69
c362,31,43,58,61
c363,53,18,163,86
c364,57,12,168,128
c365,10,3,22,4
c366,43,6,106,45
c367,56,0,79,58
c368,48,14,46,76
c369,14,6,38,12
c370,5,5,3,35
c371,129,242,126,123
c372,55,10,261,130
c373,110,83,151,114
c374,87,97,105,94
c375,90,144,70,95
c376,50,15,168,55
c377,30,18,105,89
c378,59,10,126,72
c379,16,2,44,50
c380,51,31,103,66
c381,24,16,88,104
c382,109,63,23,103
c383,1,12,45,87
c384,37,44,74,42
c385,84,12,151,90
c386,89,66,146,171
c387,63,4,49,95
c388,80,60,225,102
c389,94,0,114,73
c390,62,37,140,84
c391,102,17,109,315
c392,26,5,58,101
c393,69,22,169,101
c394,85,18,128,105
c395,84,6,95,94
c396,61,9,77,75
c397,18,5,190,64
c398,36,1,29,56
c399,113,19,167,91
c400,6,2,45,184
c401,23,6,59,78
c402,45,9,47,52
c403,106,143,133,128
c404,12,3,44,55
c405,71,35,121,88
c406,22,18,111,81
c407,6,0,19,23
c408,49,11,32,32
c409,36,6,45,96
c410,215,298,215,159
c411,83,149,117,117
c412,36,9,45,55
c413,38,1,88,58
c414,16,9,19,17
c415,174,330,180,123
c416,78,63,63,73
c417,92,14,162,130
c418,22,5,36,106
c419,38,24,64,50
c420,82,43,96,91
c421,1,29,63,64
c422,64,28,73,69
c423,273,203,498,250
c424,165,304,300,0
c425,70,42,69,57
c426,75,0,110,87
c427,37,8,126,109
c428,64,10,120,209
c429,51,10,128,170
c430,33,21,58,29
c431,56,48,67,86
c432,77,11,108,47
c433,52,18,78,40
c434,31,30,234,254
c435,98,58,133,79
c436,15,7,57,60
c437,10,0,15,35
c438,30,9,53,34
c439,78,73,128,105
c440,12,1,49,62
c441,119,165,153,64
c442,8,1,27,23
c443,52,34,95,49
c444,17,2,41,91
c445,196,24,1,140
c446,45,29,138,59
c447,36,17,101,73
c448,44,19,173,192
c449,272,85,384,328
c450,31,6,92,145
c451,168,57,503,421
c452,68,36,63,67
c453,61,28,112,34
c454,80,43,171,66
c455,78,24,101,75
c456,77,68,80,56
c457,83,16,73,56
c458,183,121,158,119
c459,4,12,67,53
c460,12,2,40,42
c461,26,6,108,39
c462,55,6,74,45
c463,106,94,128,86
c464,35,7,31,35
c465,102,68,220,163
c466,124,191,190,213
c467,36,10,87,134
c468,82,33,137,91
c469,25,61,70,76
c470,33,1,88,124
c471,234,132,281,246
c472,137,32,206,87
c473,30,18,153,77
c474,24,2,80,140
c475,38,6,49,47
c476,98,73,101,57
c477,77,45,103,60
c478,18,2,56,123
c479,56,74,95,125
c480,48,15,199,426
c481,91,53,238,175
c482,66,22,69,78
c483,99,10,123,56
c484,191,134,183,120
c485,42,5,73,167
c486,36,3,87,111
c487,133,37,455,514
c488,22,3,67,142
c489,72,37,51,73
c490,101,17,93,91
c491,67,51,149,121
c492,16,6,89,165
c493,147,41,170,131
c494,62,11,182,230
c495,60,93,98,94
c496,78,41,163,69
c497,34,13,44,133
c498,33,11,62,112
c499,5,4,3,41
c500,106,33,180,142
c501,70,67,108,85
c502,129,0,173,57
c503,7,4,31,29
c504,32,2,73,120
c505,50,2,66,39
c506,166,35,270,227
c507,72,15,102,43
c508,77,12,53,94
c509,62,29,43,45
c510,109,19,165,126
c511,47,65,94,96
c512,78,38,98,101
c513,37,24,124,50
c514,50,89,75,81
c515,40,57,69,57
c516,53,6,178,142
c517,162,141,292,228
c518,107,58,166,138
c519,8,2,75,47
c520,53,67,101,61
c521,11,4,89,41
c522,31,9,26,60
c523,70,43,98,83
c524,8,0,27,52
c525,35,37,70,23
c526,152,121,159,116
c527,24,7,86,48
c528,52,4,59,126
c529,97,73,135,126
c530,25,4,169,269
c531,37,2,88,51
c532,109,60,212,98
c533,222,270,215,180
c534,76,56,148,112
c535,56,46,60,64
c536,59,11,108,55
c537,14,12,52,55
c538,11,3,38,58
c539,122,107,122,74
c540,37,9,78,82
c541,108,82,124,99
c542,66,6,56,243
c543,21,57,136,81
c544,53,14,87,90
c545,2,2,23,100
c546,22,11,99,95
c547,159,147,164,105
c548,66,33,196,97
c549,73,43,113,43
c550,331,183,315,223
c551,9,2,51,71
c552,27,16,206,146
c553,114,10,219,124
c554,73,14,112,56
c555,123,204,195,102
c556,163,235,249,97
c557,84,74,120,69
c558,11,22,175,59
c559,23,3,148,128
c560,70,33,83,47
c561,12,5,48,381
c562,36,19,93,73
c563,41,17,65,37
c564,135,73,307,159
c565,63,35,58,41
c566,0,7,111,118
c567,125,24,386,148
c568,90,33,247,88
c569,112,11,206,176
c570,189,298,236,155
c571,72,17,78,103
c572,40,8,116,126
c573,79,93,86,51
c574,32,13,167,97
c575,22,3,63,62
c576,49,76,50,65
c577,66,87,94,117
c578,38,32,36,100
c579,63,50,80,67
c580,6,5,139,74
c581,128,19,325,312
c582,157,37,233,210
c583,19,3,68,63
c584,45,24,79,55
c585,60,62,99,38
c586,45,64,96,73
c587,46,10,254,136
c588,52,9,100,48
c589,48,72,99,81
c590,10,6,21,7
c591,28,14,97,106
c592,43,25,63,25
c593,50,46,92,60
c594,3,4,18,37
c595,44,24,78,56
c596,27,8,94,113
c597,28,3,59,77
c598,96,20,297,160
c599,75,15,112,84
c600,28,23,128,118
c601,34,8,23,195
c602,54,18,154,64
c603,11,0,58,16
c604,131,173,176,168
c605,51,95,92,65
c606,6,8,17,24
c607,71,69,123,89
c608,68,5,150,75
c609,69,26,85,53
c610,140,19,140,122
c611,42,9,136,349
c612,165,80,265,160
c613,39,35,49,49
c614,2,3,28,35
c615,73,2,95,169
c616,8,2,23,35
c617,67,15,301,174
c618,22,5,46,43
c619,28,60,45,28
c620,121,44,139,86
c621,59,68,95,61
c622,87,7,120,140
c623,5,13,522,138
c624,31,4,83,52
c625,36,8,88,57
c626,8,3,78,45
c627,66,17,105,150
c628,30,1,68,70
c629,18,1,36,44
c630,15,0,74,86
c631,56,45,81,45
c632,19,3,79,39
c633,50,9,163,63
c634,38,3,77,81
c635,50,46,84,72
c636,130,14,218,220
c637,27,3,49,25
c638,88,73,120,85
c639,228,187,288,189
c640,87,70,109,66
c641,57,9,128,94
c642,56,38,73,111
c643,97,10,108,96
c644,13,10,116,48
c645,90,80,153,53
c646,3,84,103,80
c647,88,86,83,60
c648,4,147,161,94
c649,59,34,69,54
c650,261,66,339,176
c651,11,3,37,36
c652,88,35,118,64
c653,44,10,239,78
c654,11,3,25,15
c655,118,51,121,129
c656,69,36,69,58
c657,17,6,19,40
c658,34,105,64,30
c659,32,9,93,80
c660,29,41,186,82
c661,80,35,219,167
c662,0,177,126,169
c663,65,11,84,43
c664,8,46,74,60
c665,218,8,43,91
c666,30,13,36,41
c667,41,28,56,42
c668,79,5,169,255
c669,4,0,28,49
c670,23,4,52,77
c671,78,29,105,65
c672,123,0,242,184
c673,47,9,36,36
c674,56,37,105,50
c675,39,46,77,50
c676,32,2,100,79
c677,35,7,66,101
c678,9,12,28,56
c679,7,0,25,29
c680,34,10,139,139
c681,51,10,84,55
c682,25,14,87,122
c683,28,30,57,42
c684,35,8,50,69
c685,31,67,32,38
c686,72,53,72,55
c687,10,11,40,31
c688,176,229,245,130
c689,135,140,162,126
c690,19,13,239,136
c691,28,41,49,20
c692,65,56,116,71
c693,211,196,276,149
c694,278,93,271,268
c695,33,9,138,40
c696,24,24,101,43
c697,122,41,201,158
c698,34,5,71,41
c699,55,13,94,46
c700,12,151,46,78
c701,60,18,103,64
c702,76,23,71,55
c703,63,55,70,43
c704,26,3,109,135
c705,44,7,210,54
c706,84,131,100,84
c707,51,56,121,47
c708,42,40,121,52
c709,105,51,586,238
c710,45,21,73,43
c711,21,2,34,88
c712,94,34,117,84
c713,67,5,75,106
c714,14,0,50,92
c715,53,17,108,73
c716,3,2,43,22
c717,7,5,16,62
c718,15,6,0,54
c719,5,2,124,17
c720,18,5,68,60
c721,90,83,152,107
c722,14,8,43,42
c723,64,41,49,75
c724,0,25,89,212
c725,72,38,122,76
c726,52,39,91,44
c727,106,57,128,75
c728,120,9,267,70
c729,0,3,28,36
c730,56,51,73,62
c731,41,32,107,77
c732,171,170,139,119
c733,25,2,58,42
c734,139,62,198,146
c735,31,7,123,68
c736,70,59,42,31
c737,33,35,48,37
c738,34,5,127,182
c739,0,0,273,339
c740,83,119,111,66
c741,9,2,53,53
c742,186,55,173,262
c743,19,5,128,52
c744,84,4,50,13
c745,99,60,133,93
c746,114,208,222,205
c747,64,56,46,135
c748,9,0,14,48
c749,45,16,136,247
c750,149,87,118,111
c751,61,10,102,75
c752,114,69,154,110
c753,45,5,45,59
c754,8,4,40,53
c755,24,33,90,76
c756,39,11,29,44
c757,1,6,49,44
c758,67,57,97,79
c759,32,19,138,104
c760,7,9,43,94
c761,48,19,149,81
c762,62,9,93,96
c763,242,112,276,104
c764,35,32,61,94
c765,48,66,56,57
c766,47,32,96,87
c767,86,31,135,117
c768,7,1,31,178
c769,83,21,102,77
c770,210,88,210,178
c771,115,121,117,98
c772,149,249,178,142
c773,25,9,34,33
c774,31,20,58,76
c775,48,5,31,99
c776,2,7,35,73
c777,8,0,16,16
c778,99,162,97,173
c779,40,23,98,134
c780,77,47,91,84
c781,29,18,44,41
c782,71,25,94,42
c783,45,8,32,114
c784,20,2,108,99
c785,13,2,40,74
c786,54,64,49,35
c787,132,11,204,230
c788,11,2,23,85
c789,53,10,112,127
c790,69,26,191,172
c791,6,3,37,81
c792,158,24,139,118
c793,77,92,75,87
c794,25,4,100,80
c795,71,13,116,48
c796,63,0,102,90
c797,10,2,27,36
c798,28,16,68,39
c799,40,6,78,51
c800,63,37,86,108
c801,40,1,106,62
c802,17,5,109,65
c803,51,21,100,75
c804,63,7,83,43
c805,48,39,99,77
c806,5,5,40,10
c807,81,95,113,78
c808,85,10,71,117
c809,29,10,122,129
c810,59,15,55,34
c811,65,85,78,55
c812,74,32,101,93
c813,57,71,56,65
c814,8,2,31,55
c815,34,8,87,117
c816,43,19,217,188
c817,36,20,98,88
c818,96,28,184,301
c819,8,10,30,43
c820,5,5,36,52
c821,5,3,14,16
c822,27,14,88,68
c823,100,0,108,109
c824,35,7,60,74
c825,66,10,62,61
c826,50,24,145,138
c827,163,38,90,160
c828,82,15,143,93
c829,118,130,112,116
c830,61,56,128,99
c831,37,57,58,67
c832,127,28,138,87
c833,64,42,167,113
c834,61,57,102,66
c835,77,70,82,60
c836,55,8,81,31
c837,209,137,222,166
c838,34,7,44,75
c839,29,222,165,194
c840,12,1,43,88
c841,33,8,58,82
c842,70,41,55,66
c843,36,4,121,323
c844,109,40,109,99
c845,57,2,85,27
c846,7,2,45,27
c847,19,6,40,86
c848,11,2,30,92
c849,266,156,205,160
c850,48,2,81,120
c851,1,0,79,34
c852,49,31,56,27
c853,19,4,73,49
c854,16,12,43,154
c855,47,9,74,54
c856,58,8,72,90
c857,49,8,115,101
c858,88,24,114,76
c859,57,11,92,90
c860,157,34,189,280
c861,53,10,158,81
c862,11,9,31,108
c863,7,15,106,37
c864,26,4,25,40
c865,12,10,57,45
c866,44,30,89,80
c867,46,6,69,442
c868,32,7,49,54
c869,68,7,121,131
c870,31,10,57,46
c871,37,2,99,53
c872,33,45,59,43
c873,74,0,265,441
c874,74,130,92,73
c875,141,49,267,298
c876,42,47,112,80
c877,105,173,171,146
c878,180,50,292,194
c879,5,5,25,23
c880,107,3,86,66
c881,59,2,114,31
c882,0,3,27,45
c883,94,34,14,95
c884,98,5,126,43
c885,58,38,75,46
c886,45,52,63,43
c887,120,72,329,162
c888,26,19,57,40
c889,109,126,134,83
c890,4,1,29,116
c891,102,81,123,82
c892,44,23,109,98
c893,110,64,150,107
c894,79,13,266,323
c895,256,127,334,275
c896,76,11,96,110
c897,63,45,86,75
c898,73,9,108,120
c899,66,71,128,94
c900,515,215,603,524
c901,48,28,59,39
c902,43,3,45,42
c903,72,10,102,77
c904,2,1,16,32
c905,73,48,91,63
c906,42,27,82,41
c907,68,14,169,256
c908,89,27,165,57
c909,155,21,210,140
c910,56,74,62,57
c911,85,81,64,47
c912,54,24,31,60
c913,164,264,168,159
c914,95,30,95,35
c915,98,168,139,123
c916,12,4,114,90
c917,215,195,200,218
c918,62,69,123,105
c919,6,7,50,94
c920,101,37,68,75
c921,81,27,118,142
c922,74,24,95,84
c923,52,30,116,145
c924,116,103,127,66
c925,293,256,422,98
c926,65,44,153,88
c927,52,11,57,217
c928,46,8,65,28
c929,86,18,72,124
c930,27,3,50,69
c931,45,18,127,55
c932,55,35,80,76
c933,34,9,44,56
c934,91,31,61,34
c935,3,0,10,16
c936,51,48,73,58
c937,2,4,18,29
c938,74,29,183,144
c939,188,194,271,209
c940,48,4,136,85
c941,22,5,16,10
c942,0,0,25,57
c943,75,28,95,98
c944,14,8,24,220
c945,112,47,146,187
c946,18,2,33,149
c947,1,2,12,82
c948,65,45,120,71
c949,29,6,70,64
c950,9,5,36,0
c951,101,19,157,90
c952,63,24,89,55
c953,32,26,79,55
c954,74,12,111,116
c955,82,22,146,58
c956,74,42,135,111
c957,8,2,64,85
c958,35,1,82,83
c959,36,49,61,89
c960,98,5,175,145
c961,68,23,77,76
c962,164,128,32,298
c963,71,45,95,250
c964,56,46,57,101
c965,58,12,56,93
c966,69,28,74,94
c967,254,236,253,262
c968,49,26,101,41
c969,121,181,232,224
c970,83,47,97,90
c971,6,1,85,75
c972,20,0,0,50
c973,13,37,130,117
c974,22,9,38,55
c975,36,10,44,146
c976,26,8,73,80
c977,29,15,55,58
c978,3,4,25,64
c979,18,2,38,100
c980,7,37,53,52
c981,156,56,186,182
c982,29,9,119,94
c983,100,107,95,94
c984,51,60,100,70
c985,75,139,45,117
c986,78,34,127,77
c987,52,89,86,152
c988,61,34,124,86
c989,7,1,27,65
c990,51,17,66,58
c991,172,255,237,175
c992,82,8,60,42
c993,25,73,57,56
c994,41,2,140,132
c995,13,6,69,70
c996,43,96,64,48
c997,84,43,114,86
c998,12,4,56,47
c999,38,22,50,109
c1000,114,46,158,107
c1001,0,4,101,104
c1002,41,5,53,60
c1003,21,1,28,92
c1004,148,115,243,110
c1005,49,31,106,86
c1006,35,13,59,54
c1007,25,71,51,45
c1008,23,1,28,39
c1009,167,129,181,157
c1010,76,30,78,58
c1011,17,0,38,58
c1012,134,31,79,115
c1013,12,3,41,11
c1014,72,46,180,262
c1015,56,45,56,45
c1016,74,17,68,71
c1017,14,9,54,22
c1018,1,1,69,71
c1019,29,7,63,83
c1020,9,1,28,106
c1021,66,14,88,58
c1022,17,4,54,35
c1023,61,22,108,65
c1024,57,24,24,36
c1025,66,98,106,95
c1026,62,36,79,78
c1027,11,4,80,79
c1028,105,17,265,123
c1029,0,0,19,49
c1030,75,22,61,46
c1031,46,6,68,38
c1032,100,80,92,96
c1033,113,100,179,96
c1034,52,51,84,77
c1035,138,50,118,92
c1036,49,14,132,69
c1037,151,216,199,167
c1038,212,144,222,434
c1039,291,121,349,171
c1040,124,32,163,82
c1041,23,0,44,117
c1042,61,73,51,0
c1043,94,47,132,107
c1044,37,19,53,26
c1045,50,34,76,39
c1046,51,62,81,61
c1047,229,112,246,189
c1048,39,17,62,79
c1049,60,19,121,73
c1050,65,17,34,66
c1051,101,8,57,51
c1052,36,3,107,36
c1053,109,119,117,77
c1054,35,38,46,59
c1055,95,28,134,80
c1056,21,4,83,133
c1057,24,18,44,43
c1058,120,43,130,94
c1059,103,4,80,66
c1060,52,35,95,43
c1061,55,58,91,68
c1062,53,73,129,65
c1063,105,181,169,146
c1064,16,5,32,58
c1065,227,254,207,204
c1066,33,4,50,54
c1067,96,147,157,146
c1068,97,51,91,96
c1069,12,3,74,48
c1070,17,3,48,103
c1071,123,29,67,86
c1072,50,37,73,78
c1073,98,107,84,51
c1074,38,7,101,87
c1075,109,4,82,43
c1076,101,26,108,77
c1077,54,11,84,57
c1078,77,23,121,55
c1079,27,9,77,126
c1080,68,88,85,73
c1081,52,5,98,61
c1082,80,77,170,134
c1083,3,5,32,17
c1084,104,14,96,87
c1085,10,0,32,57
c1086,48,12,140,120
c1087,90,70,93,87
c1088,46,15,76,48
c1089,76,16,133,94
c1090,94,5,293,156
c1091,69,15,118,110
c1092,5,4,26,69
c1093,74,38,67,53
c1094,78,24,165,112
c1095,6,2,27,77
c1096,69,101,112,72
c1097,337,404,371,364
c1098,11,7,58,87
c1099,47,33,157,128
c1100,100,15,113,75
c1101,104,170,186,114
c1102,26,2,37,58
c1103,12,6,43,50
c1104,90,8,250,126
c1105,80,81,144,77
c1106,26,6,48,53
c1107,10,13,238,116
c1108,45,2,63,69
c1109,16,7,30,75
c1110,112,168,191,115
c1111,11,1,64,176
c1112,138,66,157,132
c1113,86,106,95,64
c1114,32,7,67,108
c1115,247,113,235,149
c1116,5,1,116,50
c1117,12,3,20,40
c1118,36,4,95,43
c1119,30,6,189,163
c1120,61,12,37,56
c1121,24,5,154,131
c1122,37,16,121,106
c1123,2,3,16,43
c1124,14,1,94,63
c1125,26,5,58,67
c1126,25,8,61,111
c1127,70,13,199,220
c1128,29,5,39,62
c1129,62,23,92,63
c1130,84,40,115,69
c1131,48,43,123,140
c1132,14,3,53,33
c1133,99,43,5,157
c1134,21,14,101,144
c1135,36,7,25,75
c1136,44,8,99,595
c1137,78,12,150,244
c1138,49,80,54,65
c1139,17,17,33,73
c1140,53,33,213,185
c1141,61,20,78,59
c1142,203,183,231,156
c1143,31,10,165,91
c1144,94,63,172,77
c1145,32,25,60,20
c1146,62,68,86,47
c1147,91,19,103,30
c1148,63,24,73,64
c1149,14,5,18,22
c1150,117,38,105,71
c1151,39,12,107,320
c1152,4,3,42,26
c1153,168,107,228,296
c1154,40,5,137,119
c1155,45,13,63,42
c1156,47,15,69,87
c1157,66,10,130,120
c1158,185,100,192,113
c1159,117,92,58,94
c1160,45,55,89,53
c1161,215,285,288,213
c1162,216,217,137,214
c1163,76,108,74,56
c1164,64,2,51,84
c1165,21,4,49,49
c1166,16,2,199,80
c1167,41,49,49,7
c1168,68,75,71,55
c1169,35,2,80,223
c1170,6,1,34,88
c1171,85,72,105,97
c1172,83,60,87,73
c1173,38,4,56,196
c1174,70,32,100,124
c1175,42,20,120,99
c1176,55,45,47,33
c1177,67,48,63,61
c1178,36,0,35,56
c1179,4,2,29,13
c1180,46,1,57,77
c1181,29,6,53,76
c1182,86,67,189,81
c1183,79,24,127,44
c1184,11,4,72,54
c1185,40,9,82,51
c1186,7,4,20,90
c1187,14,4,41,25
c1188,115,105,111,123
c1189,55,9,76,53
c1190,84,37,57,82
c1191,84,44,97,64
c1192,23,1,109,76
c1193,66,14,115,79
c1194,34,2,40,31
c1195,69,16,133,85
c1196,53,2,84,48
c1197,30,4,96,35
c1198,34,24,72,39
c1199,54,91,94,53
c1200,12,1,49,26
c1201,54,14,111,102
c1202,57,53,76,34
c1203,45,57,41,45
c1204,15,3,20,46
c1205,40,51,44,50
c1206,68,15,91,119
c1207,52,38,74,64
c1208,18,56,67,68
c1209,61,6,108,112
c1210,26,5,67,90
c1211,32,2,29,37
c1212,39,63,63,44
c1213,73,5,58,42
c1214,33,3,54,49
c1215,16,3,30,23
c1216,86,76,117,64
c1217,66,41,155,4
c1218,19,10,34,101
c1219,96,36,252,185
c1220,26,17,169,99
c1221,28,1,30,97
c1222,57,12,75,59
c1223,26,40,129,63
c1224,50,5,100,100
c1225,30,9,42,32
c1226,108,39,183,327
c1227,42,32,107,75
c1228,12,2,92,4
c1229,79,113,98,100
c1230,101,38,167,43
c1231,11,2,68,114
c1232,101,31,131,67
c1233,36,5,91,71
c1234,32,2,87,71
c1235,1,70,81,73
c1236,135,86,227,146
c1237,67,3,108,114
c1238,12,4,33,27
c1239,71,36,101,99
c1240,41,21,161,130
