cell_id,NPM1.5.170837545.C,PTPN11.12.112888211.A,FLT3.13.28592634.CATG
c809,23,30,31
c810,25,89,87
c811,4,27,33
c812,37,0,49
c813,5,35,34
c814,43,16,24
c815,33,29,38
c816,72,47,60
c817,24,20,18
c818,18,19,28
c819,20,51,52
c820,33,76,75
c821,10,50,43
c822,3,27,44
c823,61,35,49
c824,35,36,35
c825,29,18,54
c826,27,35,8
c827,6,19,67
c828,40,47,55
c829,3,27,60
c830,20,25,12
c831,28,41,58
c832,30,37,26
c833,20,22,32
c834,25,17,33
c835,17,21,22
c836,14,28,31
c837,15,27,22
c838,6,29,39
c839,19,8,14
c840,27,13,38
c841,12,27,77
c842,17,7,11
c843,2,33,60
c844,19,46,40
c845,10,30,39
c846,19,48,54
c847,50,64,83
c848,29,39,26
c849,1,36,50
c850,4,55,68
c851,0,30,28
c852,34,27,15
c853,47,49,36
c854,17,33,49
c855,15,68,61
c856,31,33,49
c857,9,74,110
c858,24,26,31
c859,24,24,20
c860,10,84,53
c861,43,77,119
c862,7,41,50
c863,10,41,60
c864,5,22,32
c865,21,8,7
c866,45,38,42
c867,10,34,88
c868,36,37,44
c869,4,65,83
c870,59,32,41
c871,27,34,19
c872,2,28,39
c873,28,18,40
c874,7,4,36
c875,23,44,35
c876,20,12,29
c877,19,28,35
c878,10,10,38
c879,33,49,43
c880,19,31,26
c881,44,77,61
c882,25,33,41
c883,18,69,61
c884,13,40,68
c885,19,48,38
c886,12,42,54
c887,8,53,87
c888,38,43,48
c889,15,35,39
c890,14,17,29
c891,19,33,110
c892,10,71,83
c893,4,41,56
c894,36,29,43
c895,14,54,42
c896,18,14,23
c897,8,34,61
c898,20,51,80
c899,28,49,50
c900,15,44,43
c901,28,34,50
c902,27,16,23
c903,32,37,41
c904,15,17,23
c905,22,44,54
c906,12,46,46
c907,3,19,53
c908,3,43,43
c909,24,23,26
c910,12,59,132
c911,36,54,50
c912,34,25,36
c913,11,15,19
c914,58,73,61
c915,31,12,6
c916,12,79,35
c917,7,34,27
c918,24,46,36
c919,40,28,48
c920,8,30,48
c921,39,31,34
c922,14,66,73
c923,31,30,33
c924,25,55,50
c925,9,36,36
c926,26,38,47
c927,13,38,41
c928,14,50,69
c929,10,18,17
c930,26,21,28
c931,25,14,18
c932,14,51,49
c933,6,39,42
c934,53,35,59
c935,70,88,89
c936,17,39,50
c937,8,24,55
c938,35,43,31
c939,17,21,43
c940,6,51,44
c941,33,21,23
c942,6,10,40
c943,6,47,56
c944,36,34,92
c945,29,10,18
c946,44,55,57
c947,34,56,58
c948,24,77,45
c949,36,36,26
c950,12,40,38
c951,14,39,29
c952,6,57,58
c953,9,10,63
c954,15,24,24
c955,16,58,57
c956,34,61,77
c957,24,20,27
c958,4,33,53
c959,20,29,38
c960,9,35,85
c961,38,21,34
c962,10,49,72
c963,30,51,29
c964,17,32,41
c965,20,25,37
c966,15,33,67
c967,14,53,28
c968,17,44,51
c969,48,56,80
c970,22,45,29
c971,12,33,38
c972,4,17,25
c973,40,32,58
c974,4,61,99
c975,14,68,76
c976,40,33,47
c977,3,20,26
c978,42,23,23
c979,0,26,20
c980,4,41,48
c981,10,16,60
c982,18,20,29
c983,9,35,61
c984,40,27,59
c985,17,30,26
c986,3,26,35
c987,53,32,41
c988,5,64,110
c989,24,42,37
c990,10,18,36
c991,6,20,37
c992,55,27,47
c993,9,40,80
c994,21,19,26
c995,14,29,45
c996,14,13,19
c997,23,40,45
c998,15,34,50
c999,65,69,78
c1000,34,45,59
c1001,21,27,40
c1002,10,39,37
c1003,16,48,62
c1004,10,46,29
c1005,40,43,22
c1006,42,35,33
c1007,21,20,18
c1008,15,14,17
c1009,3,26,44
c1010,49,25,49
c1011,33,48,43
c1012,2,54,74
c1013,5,35,23
c1014,49,17,33
c1015,42,32,55
c1016,17,52,97
c1017,9,18,38
c1018,35,26,38
c1019,4,38,81
c1020,14,61,89
c1021,13,32,44
c1022,44,24,32
c1023,23,11,17
c1024,18,40,18
c1025,3,24,34
c1026,3,41,42
c1027,33,35,49
c1028,8,35,36
c1029,5,20,51
c1030,0,18,40
c1031,12,74,69
c1032,39,21,26
c1033,31,11,30
c1034,17,21,20
c1035,21,43,35
c1036,27,41,31
c1037,10,16,35
c1038,22,20,16
c1039,6,40,50
c1040,22,27,19
c1041,41,61,87
c1042,19,18,57
c1043,26,23,21
c1044,22,84,76
c1045,13,37,86
c1046,44,35,41
c1047,81,72,67
c1048,16,14,15
c1049,14,44,36
c1050,16,34,22
c1051,27,32,62
c1052,9,21,29
c1053,43,32,49
c1054,4,21,32
c1055,9,33,40
c1056,5,25,34
c1057,39,60,68
c1058,22,29,40
c1059,25,12,21
c1060,11,12,19
c1061,19,91,87
c1062,8,24,53
c1063,6,23,37
c1064,7,31,52
c1065,33,36,30
c1066,15,23,32
c1067,7,43,60
c1068,47,49,42
c1069,76,38,76
c1070,33,52,59
c1071,10,42,37
c1072,36,36,29
c1073,43,0,59
c1074,25,35,43
c1075,30,35,35
c1076,20,23,45
c1077,17,40,79
c1078,24,17,16
c1079,48,89,74
c1080,7,34,56
c1081,38,36,21
c1082,13,44,37
c1083,9,19,29
c1084,10,21,38
c1085,24,33,38
c1086,15,38,50
c1087,9,15,22
c1088,16,27,28
c1089,4,28,37
c1090,34,26,31
c1091,60,57,72
c1092,14,9,19
c1093,12,27,42
c1094,42,29,40
c1095,30,51,48
c1096,48,33,21
c1097,8,28,39
c1098,27,22,22
c1099,5,33,55
c1100,16,41,46
c1101,40,28,47
c1102,66,42,69
c1103,26,40,41
c1104,30,47,42
c1105,35,45,46
c1106,5,30,35
c1107,29,68,101
c1108,2,20,26
c1109,26,57,48
c1110,25,62,29
c1111,30,23,21
c1112,3,15,35
c1113,5,48,57
c1114,2,7,44
c1115,11,26,41
c1116,20,10,24
c1117,19,13,19
c1118,13,32,49
c1119,13,21,46
c1120,27,27,24
c1121,6,27,87
c1122,3,20,24
c1123,6,29,28
c1124,2,30,69
c1125,17,28,24
c1126,21,21,21
c1127,11,37,60
c1128,33,37,42
c1129,31,88,99
c1130,33,36,51
c1131,14,43,53
c1132,8,46,109
c1133,21,39,28
c1134,10,28,37
c1135,2,44,41
c1136,62,37,36
c1137,20,39,57
c1138,17,38,48
c1139,2,28,74
c1140,38,35,34
c1141,35,30,64
c1142,15,31,26
c1143,13,60,85
c1144,43,51,48
c1145,16,29,39
c1146,10,40,56
c1147,13,49,63
c1148,7,24,32
c1149,8,43,64
c1150,36,91,93
c1151,10,61,98
c1152,3,31,48
c1153,42,43,43
c1154,10,35,70
c1155,3,26,33
c1156,16,52,56
c1157,27,32,31
c1158,3,39,42
c1159,23,25,22
c1160,76,78,94
c1161,36,33,50
c1162,26,24,33
c1163,13,20,26
c1164,6,20,27
c1165,12,17,35
c1166,20,36,63
c1167,9,30,47
c1168,10,4,46
c1169,4,45,43
c1170,18,16,13
c1171,25,36,44
c1172,11,7,54
c1173,5,30,38
c1174,33,42,47
c1175,8,21,20
c1176,44,44,47
c1177,21,18,22
c1178,28,12,24
c1179,22,22,17
c1180,29,24,45
c1181,12,34,47
c1182,27,18,15
c1183,10,53,48
c1184,4,34,24
c1185,16,8,13
c1186,0,32,80
c1187,43,39,51
c1188,20,23,41
c1189,39,46,90
c1190,13,46,41
c1191,6,38,55
c1192,26,21,26
c1193,11,42,61
c1194,36,32,30
c1195,27,57,69
c1196,44,75,84
c1197,11,42,63
c1198,8,76,131
c1199,3,19,39
c1200,28,26,25
c1201,10,33,54
c1202,22,38,26
c1203,10,33,33
c1204,30,81,67
c1205,8,22,45
c1206,19,29,52
c1207,5,14,33
c1208,12,12,20
c1209,0,14,34
c1210,22,15,28
c1211,6,40,51
c1212,19,40,57
c1213,13,27,25
c1214,18,14,15
c1215,30,16,24
c1216,3,50,112
c1217,26,17,29
c1218,26,28,34
c1219,16,42,25
c1220,12,25,41
c1221,18,64,78
c1222,44,82,68
c1223,12,31,67
c1224,28,26,27
c1225,34,26,21
c1226,35,69,100
c1227,12,28,24
c1228,27,24,17
c1229,47,28,31
c1230,41,29,41
c1231,20,40,44
c1232,4,26,34
c1233,30,14,24
c1234,37,50,52
c1235,7,49,54
c1236,20,20,22
c1237,26,21,59
c1238,18,13,21
c1239,47,35,45
c1240,16,65,49
c1241,16,49,48
c1242,19,20,35
c1243,6,22,60
c1244,37,34,35
c1245,14,56,29
c1246,10,26,34
c1247,32,20,47
c1248,1,32,63
c1249,2,23,39
c1250,12,60,59
c1251,5,35,61
c1252,13,68,83
c1253,3,40,46
c1254,32,24,21
c1255,6,19,47
c1256,29,21,19
c1257,15,19,21
c1258,0,19,15
c1259,5,34,85
c1260,5,47,58
c1261,5,77,68
c1262,11,15,31
c1263,0,40,52
c1264,14,68,57
c1265,0,37,36
c1266,27,22,29
c1267,7,22,46
c1268,3,28,22
c1269,17,30,41
c1270,27,26,37
c1271,24,57,78
c1272,2,14,28
c1273,19,37,43
c1274,5,20,28
c1275,2,17,47
c1276,3,30,48
c1277,2,22,25
c1278,31,32,51
c1279,38,26,23
c1280,8,52,72
c1281,26,8,39
c1282,8,28,22
c1283,9,29,29
c1284,29,33,27
c1285,7,12,48
c1286,7,16,32
c1287,6,36,33
c1288,17,25,40
c1289,8,56,100
c1290,11,80,90
c1291,26,32,51
c1292,16,33,71
c1293,3,14,25
c1294,9,50,43
c1295,17,22,22
c1296,10,40,47
c1297,20,29,0
c1298,46,26,48
c1299,4,85,95
c1300,5,51,67
c1301,2,34,66
c1302,30,41,33
c1303,59,58,53
c1304,27,27,25
c1305,15,36,29
c1306,33,21,41
c1307,64,64,80
c1308,5,32,48
c1309,13,24,30
c1310,29,27,42
c1311,25,28,34
c1312,12,26,36
c1313,24,46,96
c1314,21,12,22
c1315,9,38,61
c1316,12,39,51
c1317,24,55,45
c1318,1,26,37
c1319,3,37,44
c1320,39,37,40
c1321,6,36,57
c1322,5,25,58
c1323,6,25,57
c1324,42,25,28
c1325,0,34,14
c1326,37,26,30
c1327,45,73,61
c1328,6,17,19
c1329,5,19,32
c1330,5,23,34
c1331,22,54,78
c1332,12,37,41
c1333,2,25,21
c1334,25,38,33
c1335,4,26,42
c1336,7,32,48
c1337,32,40,55
c1338,34,32,50
c1339,20,28,39
c1340,56,43,65
c1341,4,32,26
c1342,18,28,59
c1343,26,15,38
c1344,81,68,84
c1345,6,23,66
c1346,34,41,36
c1347,15,31,7
c1348,19,47,42
c1349,39,74,68
c1350,24,12,13
c1351,14,64,81
c1352,14,54,60
c1353,9,21,27
c1354,52,60,67
c1355,23,22,40
c1356,7,40,26
c1357,42,64,65
c1358,15,4,17
c1359,21,19,36
c1360,15,13,25
c1361,31,43,60
c1362,35,22,26
c1363,5,14,29
c1364,10,30,61
c1365,25,19,21
c1366,0,30,59
c1367,15,46,46
c1368,26,34,25
c1369,6,22,62
c1370,38,31,55
c1371,6,21,45
c1372,17,25,21
c1373,48,59,72
c1374,34,61,72
c1375,3,46,58
c1376,6,24,37
c1377,7,58,76
c1378,21,31,33
c1379,2,32,68
c1380,18,22,33
c1381,36,42,19
c1382,13,10,33
c1383,7,23,51
c1384,25,56,58
c1385,6,36,37
c1386,1,23,34
c1387,3,46,78
c1388,10,21,21
c1389,30,34,44
c1390,31,77,102
c1391,12,33,20
c1392,65,98,96
c1393,41,38,65
c1394,24,38,44
c1395,28,28,36
c1396,3,25,24
c1397,28,27,27
c1398,34,21,21
c1399,4,14,31
c1400,40,32,52
c1401,11,31,35
c1402,0,18,45
c1403,35,28,35
c1404,47,69,88
c1405,0,16,11
c1406,25,24,80
c1407,4,28,53
c1408,2,46,116
c1409,36,53,50
c1410,7,32,40
c1411,3,35,38
c1412,4,28,49
c1413,30,18,23
c1414,17,59,64
c1415,26,30,37
c1416,14,34,30
c1417,8,40,34
c1418,23,26,21
c1419,27,49,70
c1420,21,52,74
c1421,53,51,58
c1422,61,16,47
c1423,10,23,47
c1424,17,27,58
c1425,50,34,60
c1426,10,7,38
c1427,5,24,17
c1428,2,19,35
c1429,3,48,63
c1430,28,40,48
c1431,14,21,28
c1432,35,24,41
c1433,4,52,45
c1434,21,16,35
c1435,37,25,35
c1436,11,18,22
c1437,30,35,45
c1438,6,30,35
c1439,23,42,56
c1440,4,15,53
c1441,15,28,21
c1442,12,30,22
c1443,11,7,28
c1444,5,22,59
c1445,57,84,84
c1446,44,32,60
c1447,11,42,33
c1448,58,38,41
c1449,3,35,42
c1450,11,52,47
c1451,35,31,32
c1452,28,25,36
c1453,29,38,32
c1454,6,34,75
c1455,0,28,43
c1456,5,63,65
c1457,2,27,27
c1458,16,16,20
c1459,6,32,41
c1460,21,25,17
c1461,16,36,60
c1462,8,37,53
c1463,6,89,116
c1464,24,45,25
c1465,5,36,27
c1466,33,20,37
c1467,46,43,47
c1468,18,27,32
c1469,53,31,48
c1470,23,30,29
c1471,21,56,92
c1472,25,20,51
c1473,5,25,72
c1474,5,44,65
c1475,12,36,63
c1476,27,41,63
c1477,29,62,53
c1478,32,29,29
c1479,29,49,51
c1480,8,37,50
c1481,41,44,29
c1482,27,35,84
c1483,58,83,45
c1484,8,23,41
c1485,4,43,52
c1486,28,25,21
c1487,9,12,48
c1488,16,32,42
c1489,13,17,23
c1490,34,44,37
