,mn,lossValue,Method,replicate,Time,Result
91,m25_n50,0.2,Dolphyin,s11,0.01,valid
92,m25_n50,0.4,Dolphyin,s11,0.01,valid
93,m25_n50,0.1,Dolphyin,s12,0.02,valid
94,m25_n50,0.2,Dolphyin,s12,0.026,valid
95,m25_n50,0.4,Dolphyin,s12,0.012,valid
96,m25_n50,0.1,Dolphyin,s13,0.013,valid
97,m25_n50,0.2,Dolphyin,s13,0.024,valid
98,m25_n50,0.4,Dolphyin,s13,0.024,valid
99,m25_n50,0.1,Dolphyin,s14,0.016,valid
100,m25_n50,0.2,Dolphyin,s14,0.011,valid
101,m25_n50,0.4,Dolphyin,s14,0.01,valid
102,m25_n50,0.1,Dolphyin,s15,0.011,valid
103,m25_n50,0.2,Dolphyin,s15,0.011,valid
104,m25_n50,0.4,Dolphyin,s15,0.01,valid
105,m25_n50,0.1,Dolphyin,s16,0.01,valid
106,m25_n50,0.2,Dolphyin,s16,0.013,valid
107,m25_n50,0.4,Dolphyin,s16,0.009,valid
108,m25_n50,0.1,Dolphyin,s17,0.01,valid
109,m25_n50,0.2,Dolphyin,s17,0.011,valid
110,m25_n50,0.4,Dolphyin,s17,0.011,valid
111,m25_n50,0.1,Dolphyin,s18,0.009,valid
112,m25_n50,0.2,Dolphyin,s18,0.01,valid
113,m25_n50,0.4,Dolphyin,s18,0.009,valid
114,m25_n50,0.1,Dolphyin,s19,0.03,valid
115,m25_n50,0.2,Dolphyin,s19,0.022,valid
116,m25_n50,0.4,Dolphyin,s19,0.019,valid
117,m25_n50,0.1,Dolphyin,s20,0.01,valid
118,m25_n50,0.2,Dolphyin,s20,0.01,valid
119,m25_n50,0.4,Dolphyin,s20,0.01,valid
120,m25_n100,0.1,Dolphyin,s1,0.012,valid
121,m25_n100,0.2,Dolphyin,s1,0.019,valid
122,m25_n100,0.4,Dolphyin,s1,0.012,valid
123,m25_n100,0.1,Dolphyin,s2,0.021,valid
124,m25_n100,0.2,Dolphyin,s2,0.033,valid
125,m25_n100,0.4,Dolphyin,s2,0.019,valid
126,m25_n100,0.1,Dolphyin,s3,0.023,valid
127,m25_n100,0.2,Dolphyin,s3,0.032,valid
128,m25_n100,0.4,Dolphyin,s3,0.019,valid
129,m25_n100,0.1,Dolphyin,s4,0.034,valid
130,m25_n100,0.2,Dolphyin,s4,0.026,valid
131,m25_n100,0.4,Dolphyin,s4,0.019,valid
132,m25_n100,0.1,Dolphyin,s5,0.012,valid
133,m25_n100,0.2,Dolphyin,s5,0.049,valid
134,m25_n100,0.4,Dolphyin,s5,0.048,valid
135,m25_n100,0.1,Dolphyin,s6,0.012,valid
136,m25_n100,0.2,Dolphyin,s6,0.01,valid
137,m25_n100,0.4,Dolphyin,s6,0.012,valid
138,m25_n100,0.1,Dolphyin,s7,0.033,valid
139,m25_n100,0.2,Dolphyin,s7,0.028,valid
140,m25_n100,0.4,Dolphyin,s7,0.026,valid
141,m25_n100,0.1,Dolphyin,s8,0.025,valid
142,m25_n100,0.2,Dolphyin,s8,0.029,valid
143,m25_n100,0.4,Dolphyin,s8,0.027,valid
144,m25_n100,0.1,Dolphyin,s9,0.025,valid
145,m25_n100,0.2,Dolphyin,s9,0.028,valid
146,m25_n100,0.4,Dolphyin,s9,0.012,valid
147,m25_n100,0.1,Dolphyin,s10,0.03,valid
148,m25_n100,0.2,Dolphyin,s10,0.034,valid
149,m25_n100,0.4,Dolphyin,s10,0.019,valid
150,m25_n100,0.1,Dolphyin,s11,0.032,valid
151,m25_n100,0.2,Dolphyin,s11,0.01,valid
152,m25_n100,0.4,Dolphyin,s11,0.024,valid
153,m25_n100,0.1,Dolphyin,s12,0.058,valid
154,m25_n100,0.2,Dolphyin,s12,0.063,valid
155,m25_n100,0.4,Dolphyin,s12,0.046,valid
156,m25_n100,0.1,Dolphyin,s13,0.019,valid
157,m25_n100,0.2,Dolphyin,s13,0.02,valid
158,m25_n100,0.4,Dolphyin,s13,0.016,valid
159,m25_n100,0.1,Dolphyin,s14,0.031,valid
160,m25_n100,0.2,Dolphyin,s14,0.056,valid
161,m25_n100,0.4,Dolphyin,s14,0.026,valid
162,m25_n100,0.1,Dolphyin,s15,0.012,valid
163,m25_n100,0.2,Dolphyin,s15,0.056,valid
164,m25_n100,0.4,Dolphyin,s15,0.037,valid
165,m25_n100,0.1,Dolphyin,s16,0.01,valid
166,m25_n100,0.2,Dolphyin,s16,0.01,valid
167,m25_n100,0.4,Dolphyin,s16,0.011,valid
168,m25_n100,0.1,Dolphyin,s17,0.02,valid
169,m25_n100,0.2,Dolphyin,s17,0.025,valid
170,m25_n100,0.4,Dolphyin,s17,0.01,valid
171,m25_n100,0.1,Dolphyin,s18,0.012,valid
172,m25_n100,0.2,Dolphyin,s18,0.033,valid
173,m25_n100,0.4,Dolphyin,s18,0.034,valid
174,m25_n100,0.1,Dolphyin,s19,0.085,valid
175,m25_n100,0.2,Dolphyin,s19,0.053,valid
176,m25_n100,0.4,Dolphyin,s19,0.041,valid
177,m25_n100,0.1,Dolphyin,s20,0.041,valid
178,m25_n100,0.2,Dolphyin,s20,0.051,valid
179,m25_n100,0.4,Dolphyin,s20,0.087,valid
180,m50_n25,0.1,Dolphyin,s1,0.009,valid
181,m50_n25,0.2,Dolphyin,s1,0.008,valid
182,m50_n25,0.4,Dolphyin,s1,0.01,valid
183,m50_n25,0.1,Dolphyin,s2,0.01,valid
184,m50_n25,0.2,Dolphyin,s2,0.012,valid
185,m50_n25,0.4,Dolphyin,s2,0.011,valid
186,m50_n25,0.1,Dolphyin,s3,0.011,valid
187,m50_n25,0.2,Dolphyin,s3,0.012,valid
188,m50_n25,0.4,Dolphyin,s3,0.01,valid
189,m50_n25,0.1,Dolphyin,s4,0.016,valid
190,m50_n25,0.2,Dolphyin,s4,0.011,valid
191,m50_n25,0.4,Dolphyin,s4,0.011,valid
192,m50_n25,0.1,Dolphyin,s5,0.011,valid
193,m50_n25,0.2,Dolphyin,s5,0.011,valid
194,m50_n25,0.4,Dolphyin,s5,0.011,valid
195,m50_n25,0.1,Dolphyin,s6,0.011,valid
196,m50_n25,0.2,Dolphyin,s6,0.011,valid
197,m50_n25,0.4,Dolphyin,s6,0.013,valid
198,m50_n25,0.1,Dolphyin,s7,0.01,valid
199,m50_n25,0.2,Dolphyin,s7,0.011,valid
200,m50_n25,0.4,Dolphyin,s7,0.017,valid
201,m50_n25,0.1,Dolphyin,s8,0.012,valid
202,m50_n25,0.2,Dolphyin,s8,0.011,valid
203,m50_n25,0.4,Dolphyin,s8,0.011,valid
204,m50_n25,0.1,Dolphyin,s9,0.011,valid
205,m50_n25,0.2,Dolphyin,s9,0.012,valid
206,m50_n25,0.4,Dolphyin,s9,0.01,valid
207,m50_n25,0.1,Dolphyin,s10,0.012,valid
208,m50_n25,0.2,Dolphyin,s10,0.019,valid
209,m50_n25,0.4,Dolphyin,s10,0.026,valid
210,m50_n25,0.1,Dolphyin,s11,0.009,valid
211,m50_n25,0.2,Dolphyin,s11,0.01,valid
212,m50_n25,0.4,Dolphyin,s11,0.01,valid
213,m50_n25,0.1,Dolphyin,s12,0.01,valid
214,m50_n25,0.2,Dolphyin,s12,0.012,valid
215,m50_n25,0.4,Dolphyin,s12,0.013,valid
216,m50_n25,0.1,Dolphyin,s13,0.01,valid
217,m50_n25,0.2,Dolphyin,s13,0.011,valid
218,m50_n25,0.4,Dolphyin,s13,0.013,valid
219,m50_n25,0.1,Dolphyin,s14,0.013,valid
220,m50_n25,0.2,Dolphyin,s14,0.013,valid
221,m50_n25,0.4,Dolphyin,s14,0.013,valid
222,m50_n25,0.1,Dolphyin,s15,0.012,valid
223,m50_n25,0.2,Dolphyin,s15,0.011,valid
224,m50_n25,0.4,Dolphyin,s15,0.012,valid
225,m50_n25,0.1,Dolphyin,s16,0.01,valid
226,m50_n25,0.2,Dolphyin,s16,0.01,valid
227,m50_n25,0.4,Dolphyin,s16,0.01,valid
228,m50_n25,0.1,Dolphyin,s17,0.009,valid
229,m50_n25,0.2,Dolphyin,s17,0.014,valid
230,m50_n25,0.4,Dolphyin,s17,0.01,valid
231,m50_n25,0.1,Dolphyin,s18,0.01,valid
232,m50_n25,0.2,Dolphyin,s18,0.01,valid
233,m50_n25,0.4,Dolphyin,s18,0.011,valid
234,m50_n25,0.1,Dolphyin,s19,0.011,valid
235,m50_n25,0.2,Dolphyin,s19,0.011,valid
236,m50_n25,0.4,Dolphyin,s19,0.011,valid
237,m50_n25,0.1,Dolphyin,s20,0.01,valid
238,m50_n25,0.2,Dolphyin,s20,0.01,valid
239,m50_n25,0.4,Dolphyin,s20,0.014,valid
240,m50_n50,0.1,Dolphyin,s1,0.031,valid
241,m50_n50,0.2,Dolphyin,s1,0.053,valid
242,m50_n50,0.4,Dolphyin,s1,0.065,valid
243,m50_n50,0.1,Dolphyin,s2,0.042,valid
244,m50_n50,0.2,Dolphyin,s2,0.022,valid
245,m50_n50,0.4,Dolphyin,s2,0.044,valid
246,m50_n50,0.1,Dolphyin,s3,0.024,valid
247,m50_n50,0.2,Dolphyin,s3,0.014,valid
248,m50_n50,0.4,Dolphyin,s3,0.015,valid
249,m50_n50,0.1,Dolphyin,s4,0.013,valid
250,m50_n50,0.2,Dolphyin,s4,0.016,valid
251,m50_n50,0.4,Dolphyin,s4,0.025,valid
252,m50_n50,0.1,Dolphyin,s5,0.013,valid
253,m50_n50,0.2,Dolphyin,s5,0.014,valid
254,m50_n50,0.4,Dolphyin,s5,0.012,valid
255,m50_n50,0.1,Dolphyin,s6,0.015,valid
256,m50_n50,0.2,Dolphyin,s6,0.013,valid
257,m50_n50,0.4,Dolphyin,s6,0.02,valid
258,m50_n50,0.1,Dolphyin,s7,0.013,valid
259,m50_n50,0.2,Dolphyin,s7,0.027,valid
260,m50_n50,0.4,Dolphyin,s7,0.026,valid
261,m50_n50,0.1,Dolphyin,s8,0.02,valid
262,m50_n50,0.2,Dolphyin,s8,0.026,valid
263,m50_n50,0.4,Dolphyin,s8,0.014,valid
264,m50_n50,0.1,Dolphyin,s9,0.032,valid
265,m50_n50,0.2,Dolphyin,s9,0.013,valid
266,m50_n50,0.4,Dolphyin,s9,0.025,valid
267,m50_n50,0.1,Dolphyin,s10,0.02,valid
268,m50_n50,0.2,Dolphyin,s10,0.024,valid
269,m50_n50,0.4,Dolphyin,s10,0.013,valid
270,m50_n50,0.1,Dolphyin,s11,0.015,valid
271,m50_n50,0.2,Dolphyin,s11,0.015,valid
272,m50_n50,0.4,Dolphyin,s11,0.017,valid
273,m50_n50,0.1,Dolphyin,s12,0.015,valid
274,m50_n50,0.2,Dolphyin,s12,0.015,valid
275,m50_n50,0.4,Dolphyin,s12,0.013,valid
276,m50_n50,0.1,Dolphyin,s13,0.024,valid
277,m50_n50,0.2,Dolphyin,s13,0.034,valid
278,m50_n50,0.4,Dolphyin,s13,0.032,valid
279,m50_n50,0.1,Dolphyin,s14,0.014,valid
280,m50_n50,0.2,Dolphyin,s14,0.014,valid
281,m50_n50,0.4,Dolphyin,s14,0.018,valid
282,m50_n50,0.1,Dolphyin,s15,0.013,valid
283,m50_n50,0.2,Dolphyin,s15,0.014,valid
284,m50_n50,0.4,Dolphyin,s15,0.023,valid
285,m50_n50,0.1,Dolphyin,s16,0.014,valid
286,m50_n50,0.2,Dolphyin,s16,0.013,valid
287,m50_n50,0.4,Dolphyin,s16,0.013,valid
288,m50_n50,0.1,Dolphyin,s17,0.026,valid
289,m50_n50,0.2,Dolphyin,s17,0.025,valid
290,m50_n50,0.4,Dolphyin,s17,0.02,valid
291,m50_n50,0.1,Dolphyin,s18,0.014,valid
292,m50_n50,0.2,Dolphyin,s18,0.013,valid
293,m50_n50,0.4,Dolphyin,s18,0.022,valid
294,m50_n50,0.1,Dolphyin,s19,0.023,valid
295,m50_n50,0.2,Dolphyin,s19,0.03,valid
296,m50_n50,0.4,Dolphyin,s19,0.022,valid
297,m50_n50,0.1,Dolphyin,s20,0.022,valid
298,m50_n50,0.2,Dolphyin,s20,0.025,valid
299,m50_n50,0.4,Dolphyin,s20,0.025,valid
300,m50_n100,0.1,Dolphyin,s1,0.087,valid
301,m50_n100,0.2,Dolphyin,s1,0.081,valid
302,m50_n100,0.4,Dolphyin,s1,0.057,valid
303,m50_n100,0.1,Dolphyin,s2,0.115,valid
304,m50_n100,0.2,Dolphyin,s2,0.069,valid
305,m50_n100,0.4,Dolphyin,s2,0.077,valid
306,m50_n100,0.1,Dolphyin,s3,0.016,valid
307,m50_n100,0.2,Dolphyin,s3,0.047,valid
308,m50_n100,0.4,Dolphyin,s3,0.033,valid
309,m50_n100,0.1,Dolphyin,s4,0.054,valid
310,m50_n100,0.2,Dolphyin,s4,0.039,valid
311,m50_n100,0.4,Dolphyin,s4,0.027,valid
312,m50_n100,0.1,Dolphyin,s5,0.05,valid
313,m50_n100,0.2,Dolphyin,s5,0.074,valid
314,m50_n100,0.4,Dolphyin,s5,0.06,valid
315,m50_n100,0.1,Dolphyin,s6,0.065,valid
316,m50_n100,0.2,Dolphyin,s6,0.078,valid
317,m50_n100,0.4,Dolphyin,s6,0.068,valid
318,m50_n100,0.1,Dolphyin,s7,0.09,valid
319,m50_n100,0.2,Dolphyin,s7,0.057,valid
320,m50_n100,0.4,Dolphyin,s7,4.079,valid
321,m50_n100,0.1,Dolphyin,s8,0.067,valid
322,m50_n100,0.2,Dolphyin,s8,0.054,valid
323,m50_n100,0.4,Dolphyin,s8,0.055,valid
324,m50_n100,0.1,Dolphyin,s9,0.08,valid
325,m50_n100,0.2,Dolphyin,s9,0.066,valid
326,m50_n100,0.4,Dolphyin,s9,0.037,valid
327,m50_n100,0.1,Dolphyin,s10,0.059,valid
328,m50_n100,0.2,Dolphyin,s10,0.108,valid
329,m50_n100,0.4,Dolphyin,s10,0.194,valid
330,m50_n100,0.1,Dolphyin,s11,0.069,valid
331,m50_n100,0.2,Dolphyin,s11,0.064,valid
332,m50_n100,0.4,Dolphyin,s11,0.077,valid
333,m50_n100,0.1,Dolphyin,s12,0.416,valid
334,m50_n100,0.2,Dolphyin,s12,0.282,valid
335,m50_n100,0.4,Dolphyin,s12,0.019,valid
336,m50_n100,0.1,Dolphyin,s13,0.101,valid
337,m50_n100,0.2,Dolphyin,s13,0.09,valid
338,m50_n100,0.4,Dolphyin,s13,0.066,valid
339,m50_n100,0.1,Dolphyin,s14,0.053,valid
340,m50_n100,0.2,Dolphyin,s14,0.058,valid
341,m50_n100,0.4,Dolphyin,s14,0.039,valid
342,m50_n100,0.1,Dolphyin,s15,0.032,valid
343,m50_n100,0.2,Dolphyin,s15,0.045,valid
344,m50_n100,0.4,Dolphyin,s15,0.036,valid
345,m50_n100,0.1,Dolphyin,s16,0.046,valid
346,m50_n100,0.2,Dolphyin,s16,0.027,valid
347,m50_n100,0.4,Dolphyin,s16,0.049,valid
348,m50_n100,0.1,Dolphyin,s17,0.057,valid
349,m50_n100,0.2,Dolphyin,s17,0.08,valid
350,m50_n100,0.4,Dolphyin,s17,0.037,valid
351,m50_n100,0.1,Dolphyin,s18,0.065,valid
352,m50_n100,0.2,Dolphyin,s18,0.062,valid
353,m50_n100,0.4,Dolphyin,s18,0.051,valid
354,m50_n100,0.1,Dolphyin,s19,0.096,valid
355,m50_n100,0.2,Dolphyin,s19,0.097,valid
356,m50_n100,0.4,Dolphyin,s19,0.048,valid
357,m50_n100,0.1,Dolphyin,s20,0.077,valid
358,m50_n100,0.2,Dolphyin,s20,0.069,valid
359,m50_n100,0.4,Dolphyin,s20,0.091,valid
360,m100_n25,0.1,Dolphyin,s1,0.013,valid
361,m100_n25,0.2,Dolphyin,s1,0.016,valid
362,m100_n25,0.4,Dolphyin,s1,0.016,valid
363,m100_n25,0.1,Dolphyin,s2,0.018,valid
364,m100_n25,0.2,Dolphyin,s2,0.021,valid
365,m100_n25,0.4,Dolphyin,s2,0.021,valid
366,m100_n25,0.1,Dolphyin,s3,0.014,valid
367,m100_n25,0.2,Dolphyin,s3,0.017,valid
368,m100_n25,0.4,Dolphyin,s3,0.016,valid
369,m100_n25,0.1,Dolphyin,s4,0.017,valid
370,m100_n25,0.2,Dolphyin,s4,0.022,valid
371,m100_n25,0.4,Dolphyin,s4,0.023,valid
372,m100_n25,0.1,Dolphyin,s5,0.015,valid
373,m100_n25,0.2,Dolphyin,s5,0.015,valid
374,m100_n25,0.4,Dolphyin,s5,0.015,valid
375,m100_n25,0.1,Dolphyin,s6,0.018,valid
376,m100_n25,0.2,Dolphyin,s6,0.018,valid
377,m100_n25,0.4,Dolphyin,s6,0.015,valid
378,m100_n25,0.1,Dolphyin,s7,0.019,valid
379,m100_n25,0.2,Dolphyin,s7,0.022,valid
380,m100_n25,0.4,Dolphyin,s7,0.014,valid
381,m100_n25,0.1,Dolphyin,s8,0.016,valid
382,m100_n25,0.2,Dolphyin,s8,0.021,valid
383,m100_n25,0.4,Dolphyin,s8,0.025,valid
384,m100_n25,0.1,Dolphyin,s9,0.013,valid
385,m100_n25,0.2,Dolphyin,s9,0.017,valid
386,m100_n25,0.4,Dolphyin,s9,0.015,valid
387,m100_n25,0.1,Dolphyin,s10,0.017,valid
388,m100_n25,0.2,Dolphyin,s10,0.019,valid
389,m100_n25,0.4,Dolphyin,s10,0.019,valid
390,m100_n25,0.1,Dolphyin,s11,0.017,valid
391,m100_n25,0.2,Dolphyin,s11,0.018,valid
392,m100_n25,0.4,Dolphyin,s11,0.018,valid
393,m100_n25,0.1,Dolphyin,s12,0.019,valid
394,m100_n25,0.2,Dolphyin,s12,0.019,valid
395,m100_n25,0.4,Dolphyin,s12,0.018,valid
396,m100_n25,0.1,Dolphyin,s13,0.014,valid
397,m100_n25,0.2,Dolphyin,s13,0.018,valid
398,m100_n25,0.4,Dolphyin,s13,0.018,valid
399,m100_n25,0.1,Dolphyin,s14,0.019,valid
400,m100_n25,0.2,Dolphyin,s14,0.018,valid
401,m100_n25,0.4,Dolphyin,s14,0.015,valid
402,m100_n25,0.1,Dolphyin,s15,0.017,valid
403,m100_n25,0.2,Dolphyin,s15,0.018,valid
404,m100_n25,0.4,Dolphyin,s15,0.019,valid
405,m100_n25,0.1,Dolphyin,s16,0.018,valid
406,m100_n25,0.2,Dolphyin,s16,0.028,valid
407,m100_n25,0.4,Dolphyin,s16,0.017,valid
408,m100_n25,0.1,Dolphyin,s17,0.015,valid
409,m100_n25,0.2,Dolphyin,s17,0.027,valid
410,m100_n25,0.4,Dolphyin,s17,0.017,valid
411,m100_n25,0.1,Dolphyin,s18,0.016,valid
412,m100_n25,0.2,Dolphyin,s18,0.017,valid
413,m100_n25,0.4,Dolphyin,s18,0.019,valid
414,m100_n25,0.1,Dolphyin,s19,0.016,valid
415,m100_n25,0.2,Dolphyin,s19,0.019,valid
416,m100_n25,0.4,Dolphyin,s19,0.017,valid
417,m100_n25,0.1,Dolphyin,s20,0.015,valid
418,m100_n25,0.2,Dolphyin,s20,0.016,valid
419,m100_n25,0.4,Dolphyin,s20,0.015,valid
420,m100_n50,0.1,Dolphyin,s1,0.022,valid
421,m100_n50,0.2,Dolphyin,s1,0.026,valid
422,m100_n50,0.4,Dolphyin,s1,0.026,valid
423,m100_n50,0.1,Dolphyin,s2,0.022,valid
424,m100_n50,0.2,Dolphyin,s2,0.033,valid
425,m100_n50,0.4,Dolphyin,s2,0.041,valid
426,m100_n50,0.1,Dolphyin,s3,0.023,valid
427,m100_n50,0.2,Dolphyin,s3,0.047,valid
428,m100_n50,0.4,Dolphyin,s3,0.036,valid
429,m100_n50,0.1,Dolphyin,s4,0.056,valid
430,m100_n50,0.2,Dolphyin,s4,0.035,valid
431,m100_n50,0.4,Dolphyin,s4,0.037,valid
432,m100_n50,0.1,Dolphyin,s5,0.049,valid
433,m100_n50,0.2,Dolphyin,s5,0.039,valid
434,m100_n50,0.4,Dolphyin,s5,0.036,valid
435,m100_n50,0.1,Dolphyin,s6,0.055,valid
436,m100_n50,0.2,Dolphyin,s6,0.031,valid
437,m100_n50,0.4,Dolphyin,s6,0.054,valid
438,m100_n50,0.1,Dolphyin,s7,0.02,valid
439,m100_n50,0.2,Dolphyin,s7,0.049,valid
440,m100_n50,0.4,Dolphyin,s7,0.034,valid
441,m100_n50,0.1,Dolphyin,s8,0.027,valid
442,m100_n50,0.2,Dolphyin,s8,0.029,valid
443,m100_n50,0.4,Dolphyin,s8,0.024,valid
444,m100_n50,0.1,Dolphyin,s9,0.024,valid
445,m100_n50,0.2,Dolphyin,s9,0.025,valid
446,m100_n50,0.4,Dolphyin,s9,0.022,valid
447,m100_n50,0.1,Dolphyin,s10,0.038,valid
448,m100_n50,0.2,Dolphyin,s10,0.053,valid
449,m100_n50,0.4,Dolphyin,s10,0.023,valid
450,m100_n50,0.1,Dolphyin,s11,0.022,valid
451,m100_n50,0.2,Dolphyin,s11,0.022,valid
452,m100_n50,0.4,Dolphyin,s11,0.021,valid
453,m100_n50,0.1,Dolphyin,s12,0.037,valid
454,m100_n50,0.2,Dolphyin,s12,0.021,valid
455,m100_n50,0.4,Dolphyin,s12,0.031,valid
456,m100_n50,0.1,Dolphyin,s13,0.031,valid
457,m100_n50,0.2,Dolphyin,s13,0.037,valid
458,m100_n50,0.4,Dolphyin,s13,0.034,valid
459,m100_n50,0.1,Dolphyin,s14,0.065,valid
460,m100_n50,0.2,Dolphyin,s14,0.054,valid
461,m100_n50,0.4,Dolphyin,s14,0.029,valid
462,m100_n50,0.1,Dolphyin,s15,0.02,valid
463,m100_n50,0.2,Dolphyin,s15,0.025,valid
464,m100_n50,0.4,Dolphyin,s15,0.021,valid
465,m100_n50,0.1,Dolphyin,s16,0.055,valid
466,m100_n50,0.2,Dolphyin,s16,0.048,valid
467,m100_n50,0.4,Dolphyin,s16,0.053,valid
468,m100_n50,0.1,Dolphyin,s17,0.027,valid
469,m100_n50,0.2,Dolphyin,s17,0.044,valid
470,m100_n50,0.4,Dolphyin,s17,0.032,valid
471,m100_n50,0.1,Dolphyin,s18,0.023,valid
472,m100_n50,0.2,Dolphyin,s18,0.032,valid
473,m100_n50,0.4,Dolphyin,s18,0.062,valid
474,m100_n50,0.1,Dolphyin,s19,0.024,valid
475,m100_n50,0.2,Dolphyin,s19,0.061,valid
476,m100_n50,0.4,Dolphyin,s19,0.031,valid
477,m100_n50,0.1,Dolphyin,s20,0.025,valid
478,m100_n50,0.2,Dolphyin,s20,0.024,valid
479,m100_n50,0.4,Dolphyin,s20,0.026,valid
480,m100_n100,0.1,Dolphyin,s1,0.13,valid
